pays,ville,coordonnesgroup
Tunisie,Makthar,Point(9.2 35.85)
Tunisie,Mateur,Point(9.665 37.04)
Tunisie,Zarat,Point(10.350494 33.667854)
Tunisie,Aïn Djeloula,Point(9.78333333 35.8)
Tunisie,Korba,Point(10.866666666 36.566666666)
Tunisie,Skhira,Point(10.070833333 34.300555555)
Tunisie,Bir Lahmar,Point(10.4421 33.1787)
Tunisie,Bou Arada,Point(9.62 36.35)
Tunisie,Bou Merdes,Point(10.73 35.45)
Tunisie,El Maâmoura,Point(10.8 36.46666667)
Tunisie,Menzel Kamel,Point(10.66666667 35.63333333)
Tunisie,Sidi Makhlouf,Point(10.4658935 33.5025383)
Tunisie,Bou Mhel el-Bassatine,Point(10.297279 36.733794)
Tunisie,Den Den,Point(10.11055556 36.80222222)
Tunisie,Djedeida,Point(9.936082 36.850608)
Tunisie,El Bradâa,Point(10.98 35.35)
Tunisie,Ezzahra,Point(10.308333 36.743889)
Tunisie,Hebira,Point(10.23 35.17)
Tunisie,Menzel Jemil,Point(9.91 37.23)
Tunisie,Nasrallah,Point(9.82 35.35)
Tunisie,Sakiet Ezzit,Point(10.77 34.8)
Tunisie,Sidi Hassine,Point(10.11277778 36.76027778)
Tunisie,Kalâa Seghira,Point(10.55833333 35.82361111)
Tunisie,Korbous,Point(10.568611111 36.816388888)
Tunisie,Tajerouine,Point(8.552899 35.89164)
Tunisie,Goubellat,Point(9.663591 36.542191)
Tunisie,Thala,Point(8.666666666 35.566666666)
Tunisie,El Maâgoula,Point(9.18194444 36.7)
Tunisie,Téboulba,Point(10.965797 35.641829)
Tunisie,Somâa,Point(10.78 36.55)
Tunisie,Takelsa,Point(10.63 36.79)
Tunisie,Borj El Amri,Point(9.882717 36.712949)
Tunisie,Menzel Horr,Point(10.95 36.73333333)
Tunisie,Tamerza,Point(7.95 34.38)
Tunisie,Bargou,Point(9.57 36.09)
Tunisie,Bouficha,Point(10.454865 36.3)
Tunisie,Dar Chaâbane,Point(10.75 36.47)
Tunisie,Amdoun,Point(9.089084 36.768008)
Tunisie,Rjim Maâtoug,Point(7.94694444 33.31944444)
Tunisie,Douar Hicher,Point(10.08944444 36.82916667)
Tunisie,El Batan,Point(9.843888888 36.803611111)
Tunisie,Menzel Ennour,Point(10.77916667 35.66888889)
