departement,ville,coordonnesgroup
canton de Châtillon-en-Bazois,Aunay,Point(3.698611111 47.115277777)
canton de Châtillon-en-Bazois,Aunay-en-Bazois,Point(3.698611111 47.115277777)
arrondissement d'Avranches,Beauchamps,Point(-1.358888888 48.832222222)
arrondissement de Mamers,Bernay,Point(-0.059722222 48.074166666)
arrondissement d'Orléans,Bonnée,Point(2.382222222 47.796944444)
canton de Belmont-de-la-Loire,Belleroche,Point(4.41 46.168333333)
Charente,Alloue,Point(0.515277777 46.026388888)
Pas-de-Calais,Annequin,Point(2.725 50.507222222)
arrondissement de Digne-les-Bains,Auzet,Point(6.316944444 44.294166666)
Eure,Brétigny,Point(0.676666666 49.213611111)
arrondissement de Provins,Baby,Point(3.342222222 48.396666666)
canton de Malzéville,Amance,Point(6.279722222 48.754166666)
arrondissement d'Agen,Boé,Point(0.628611111 44.159722222)
arrondissement de Strasbourg-Campagne,Achenheim,Point(7.626944444 48.581111111)
arrondissement de Strasbourg-Campagne,Bernolsheim,Point(7.689722222 48.756111111)
arrondissement de Strasbourg-Campagne,Blaesheim,Point(7.609166666 48.505833333)
arrondissement de Palaiseau,Bures-sur-Yvette,Point(2.161388888 48.696666666)
arrondissement de Sarlat-la-Canéda,Badefols-d'Ans,Point(1.1975 45.23)
Haute-Saône,Achey,Point(5.607777777 47.574166666)
arrondissement de Colmar,Artzenheim,Point(7.541388888 48.115277777)
canton de Massat,Boussenac,Point(1.369166666 42.903888888)
canton de Saint-Savinien,Bords,Point(-0.794444444 45.896944444)
arrondissement de Nogent-sur-Seine,Avant-lès-Marcilly,Point(3.57 48.422777777)
arrondissement de Nogent-sur-Seine,Avon-la-Pèze,Point(3.654166666 48.388888888)
canton de Sainte-Croix-Volvestre,Bédeille,Point(1.103611111 43.0875)
canton de Saint-Julien,Bourcia,Point(5.408055555 46.353611111)
arrondissement de Nevers,Bona,Point(3.423333333 47.061111111)
canton de Ressons-sur-Matz,Antheuil-Portes,Point(2.754722222 49.495555555)
Hérault,Abeilhan,Point(3.294722222 43.449722222)
Hérault,Campagnan,Point(3.498055555 43.537222222)
Nièvre,Azy-le-Vif,Point(3.229444444 46.785555555)
Nièvre,Bazoches,Point(3.786666666 47.376944444)
canton de Lembeye,Bétracq,Point(-0.055833333 43.512777777)
Pas-de-Calais,Barastre,Point(2.9325 50.076944444)
arrondissement de Lorient,Bangor,Point(-3.188611111 47.315)
Seine-et-Marne,Boulancourt,Point(2.4375 48.258611111)
arrondissement de Mamers,Arçonnay,Point(0.086388888 48.395555555)
arrondissement de La Rochelle,Bourgneuf,Point(-1.024166666 46.166944444)
Pas-de-Calais,Barly,Point(2.546944444 50.249722222)
canton de Laloubère,Arcizac-Adour,Point(0.099166666 43.156111111)
arrondissement de Clermont-Ferrand,Beaumont,Point(3.083055555 45.751666666)
Ardennes,Asfeld,Point(4.118333333 49.468888888)
Haute-Corse,Bustanico,Point(9.300277777 42.3225)
canton de Belcaire,Belcaire,Point(1.957222222 42.815833333)
Bordeaux Métropole,Carbon-Blanc,Point(-0.506388888 44.894722222)
arrondissement de Sarlat-la-Canéda,Boisseuilh,Point(1.178055555 45.288333333)
arrondissement de Brioude,Blesle,Point(3.170555555 45.318888888)
arrondissement de Sarcelles,Baillet-en-France,Point(2.299444444 49.062222222)
canton de Castelnau-Magnoac,Betpouy,Point(0.458888888 43.275)
arrondissement de Villefranche-sur-Saône,Ambérieux,Point(4.737222222 45.928055555)
canton de Vigy,Argancy,Point(6.202777777 49.195833333)
Aude,Bugarach,Point(2.351111111 42.877222222)
arrondissement de Mont-de-Marsan,Bougue,Point(-0.3925 43.89)
arrondissement de Châteauroux,Arthon,Point(1.699444444 46.693611111)
arrondissement de Mende,Auroux,Point(3.727222222 44.752777777)
arrondissement d'Albertville,Aigueblanche,Point(6.509722222 45.500833333)
arrondissement de Mamers,Beillé,Point(0.51 48.083055555)
canton de Campagne-lès-Hesdin,Brimeux,Point(1.833888888 50.444444444)
canton de Chantelle,Barberier,Point(3.245833333 46.217777777)
canton d'Aix-en-Provence-Centre,Aix,Point(5.445555555 43.527777777)
arrondissement de Poitiers,Ayron,Point(0.076944444 46.660555555)
arrondissement de Roanne,Boyer,Point(4.209444444 46.0975)
Charente-Maritime,Annepont,Point(-0.6175 45.839444444)
Charente-Maritime,Blanzac-lès-Matha,Point(-0.351944444 45.872777777) | Point(-0.35183 45.87274)
Charente-Maritime,Bussac-Forêt,Point(-0.369722222 45.2125)
canton d'Auzon,Azérat,Point(3.3825 45.362222222)
arrondissement de Sarlat-la-Canéda,Calviac-en-Périgord,Point(1.333611111 44.854722222)
Seine-et-Marne,Beautheil,Point(3.088611111 48.763333333)
canton de Maubourguet,Auriébat,Point(0.0875 43.494722222)
arrondissement de Molsheim,Altorf,Point(7.528333333 48.522222222)
canton d'Avesnes-sur-Helpe-Sud,Avesnelles,Point(3.943055555 50.1175)
arrondissement de Nantua,Arbent,Point(5.681111111 46.295555555)
arrondissement de Nantua,Bolozon,Point(5.474444444 46.192777777)
arrondissement de Nantua,Brénod,Point(5.606111111 46.060833333)
arrondissement de Tournon-sur-Rhône,Arras-sur-Rhône,Point(4.807222222 45.141666666)
Aube,Bar-sur-Aube,Point(4.706388888 48.233055555)
Pas-de-Calais,Avesnes,Point(1.971666666 50.55)
Pas-de-Calais,Béthune,Point(2.639326 50.53095)
Haute-Corse,Campile,Point(9.353611111 42.4925)
arrondissement de Dax,Boos,Point(-0.993888888 43.891388888)
Seine-et-Marne,Arbonne-la-Forêt,Point(2.565 48.413333333)
Seine-et-Marne,Bellot,Point(3.318333333 48.856666666)
arrondissement de Limoges,Burgnac,Point(1.151388888 45.726111111)
Eure,Aclou,Point(0.704722222 49.170277777)
canton d'Aups,Baudinard,Point(6.134444444 43.716388888)
arrondissement d'Albertville,Allondaz,Point(6.371388888 45.706111111)
arrondissement de Mamers,Beaumont-sur-Sarthe,Point(0.130555555 48.226388888)
arrondissement d'Auch,Augnax,Point(0.775555555 43.722222222)
arrondissement de Saint-Lô,Beaucoudray,Point(-1.141944444 48.958611111)
canton de Lavoûte-Chilhac,Blassac,Point(3.399722222 45.170277777)
arrondissement de Roanne,Bully,Point(4.005 45.9275)
Eure,Ambenay,Point(0.729166666 48.836111111)
