person,leonoreid
http://www.wikidata.org/entity/Q716661,19800035/1219/40728
http://www.wikidata.org/entity/Q717141,19800035/1366/57905
http://www.wikidata.org/entity/Q704871,19800035/85/10643
http://www.wikidata.org/entity/Q707878,LH/1034/52
http://www.wikidata.org/entity/Q708596,LH/1090/13
http://www.wikidata.org/entity/Q720401,LH/1205/68
http://www.wikidata.org/entity/Q713664,LH/1509/32
http://www.wikidata.org/entity/Q704188,LH/1698/41
http://www.wikidata.org/entity/Q713092,LH/1947/68
http://www.wikidata.org/entity/Q712889,LH/1968/3
http://www.wikidata.org/entity/Q704342,LH/2021/6
http://www.wikidata.org/entity/Q708968,LH/2163/6
http://www.wikidata.org/entity/Q712474,LH/2210/15
http://www.wikidata.org/entity/Q700275,LH/2243/66
http://www.wikidata.org/entity/Q705781,LH/2603/55
http://www.wikidata.org/entity/Q3084295,LH/566/8
http://www.wikidata.org/entity/Q3092413,LH/586/72
http://www.wikidata.org/entity/Q3092411,LH/589/93
http://www.wikidata.org/entity/Q3086086,LH/675/46
http://www.wikidata.org/entity/Q3086086,LH/675/47
http://www.wikidata.org/entity/Q3081753,LH/691/15
http://www.wikidata.org/entity/Q3085359,LH/694/9
http://www.wikidata.org/entity/Q3083305,LH/699/32
