leonoreid,person,bnfid
LH/1263/20,http://www.wikidata.org/entity/Q1356363,119068235
LH/2001/50,http://www.wikidata.org/entity/Q1361368,118959754
19800035/1448/67523,http://www.wikidata.org/entity/Q1369617,119147019
LH/843/35,http://www.wikidata.org/entity/Q1381920,125108581
LH/2531/11,http://www.wikidata.org/entity/Q1385124,105372435
19800035/1328/53941,http://www.wikidata.org/entity/Q1388759,162016069
19800035/85/10635,http://www.wikidata.org/entity/Q1430909,125236990
LH/1078/20,http://www.wikidata.org/entity/Q1441510,120170548
19800035/210/27517,http://www.wikidata.org/entity/Q1442423,11924238g
LH/273/13,http://www.wikidata.org/entity/Q1450807,12158469n
LH/2058/31,http://www.wikidata.org/entity/Q1450817,10709490f
LH/2417/9,http://www.wikidata.org/entity/Q1450838,121067062
LH/192/74,http://www.wikidata.org/entity/Q1151,138914125
C/0/25,http://www.wikidata.org/entity/Q2185,11920221s
LH/681/19,http://www.wikidata.org/entity/Q4700,13893072d
C/0/17,http://www.wikidata.org/entity/Q5721,12014186f
LH/451/10,http://www.wikidata.org/entity/Q8814,11895590x
LH/874/13,http://www.wikidata.org/entity/Q15948,11901387t
19800035/200/26204,http://www.wikidata.org/entity/Q18436,130091408
LH/892/60,http://www.wikidata.org/entity/Q20882,12522897m
19800035/127/16027,http://www.wikidata.org/entity/Q20894,11200423d
LH/191/38,http://www.wikidata.org/entity/Q42156,11891433v
LH/1993/18,http://www.wikidata.org/entity/Q49448,106827128
LH/1993/18,http://www.wikidata.org/entity/Q49448,12561872v
LH/502/50,http://www.wikidata.org/entity/Q49767,11896324t
LH/62/12,http://www.wikidata.org/entity/Q50656,12105995t
LH/529/65,http://www.wikidata.org/entity/Q56705,13075665g
LH/2288/67,http://www.wikidata.org/entity/Q73890,12312447d
LH/1799/22,http://www.wikidata.org/entity/Q81042,12977224p
LH/150/12,http://www.wikidata.org/entity/Q81518,13743827k
LH/1353/98,http://www.wikidata.org/entity/Q82730,13210892t
LH/128/77,http://www.wikidata.org/entity/Q83326,13891198w
LH/1626/79,http://www.wikidata.org/entity/Q104154,13009244x
LH/2657/7,http://www.wikidata.org/entity/Q108301,119584498
LH/1685/37,http://www.wikidata.org/entity/Q116993,10720224b
19800035/451/60340,http://www.wikidata.org/entity/Q122090,12459206z
LH/1233/67,http://www.wikidata.org/entity/Q123026,129240471
LH/2274/39,http://www.wikidata.org/entity/Q125916,15798240n
LH/1656/36,http://www.wikidata.org/entity/Q127275,12301016k
LH/2392/42,http://www.wikidata.org/entity/Q127931,12443310t
19800035/436/58318,http://www.wikidata.org/entity/Q131987,12381158f
LH/185/49,http://www.wikidata.org/entity/Q152944,12524487p
19800035/168/21667,http://www.wikidata.org/entity/Q154356,12088647b
C/0/4,http://www.wikidata.org/entity/Q158838,13557696p
LH/2233/51,http://www.wikidata.org/entity/Q159923,105340149
19800035/1301/50196,http://www.wikidata.org/entity/Q165910,118983965
LH/2208/25,http://www.wikidata.org/entity/Q166668,105552971
19800035/1176/36112,http://www.wikidata.org/entity/Q168693,122081589
LH/906/15,http://www.wikidata.org/entity/Q169186,131681424
LH/172/43,http://www.wikidata.org/entity/Q170209,13891318z
LH/1509/35,http://www.wikidata.org/entity/Q170596,11911458q
LH/2567/6,http://www.wikidata.org/entity/Q177139,11926003r
19800035/882/3412,http://www.wikidata.org/entity/Q181686,11915395m
19800035/789/89205,http://www.wikidata.org/entity/Q185777,125711128
LH/1269/8,http://www.wikidata.org/entity/Q187496,11954782z
C/0/11,http://www.wikidata.org/entity/Q191974,11920109n
LH/682/2,http://www.wikidata.org/entity/Q202289,13484480g
19800035/463/61886,http://www.wikidata.org/entity/Q206391,119019388
LH/1616/85,http://www.wikidata.org/entity/Q209169,12068024m
LH/2779/6,http://www.wikidata.org/entity/Q209181,12738387x
LH/1331/52,http://www.wikidata.org/entity/Q210798,119081184
LH/648/10,http://www.wikidata.org/entity/Q214217,10708134w
LH/2752/53,http://www.wikidata.org/entity/Q215161,139011448
LH/128/45,http://www.wikidata.org/entity/Q223274,125053350
LH/2/6,http://www.wikidata.org/entity/Q237911,122027126
LH/2576/72,http://www.wikidata.org/entity/Q245572,12459950c
LH/2471/47,http://www.wikidata.org/entity/Q246459,10689330s
LH/2471/47,http://www.wikidata.org/entity/Q246459,13481130c
LH/1755/11,http://www.wikidata.org/entity/Q246549,123260611
LH/1755/11,http://www.wikidata.org/entity/Q246549,14976290h
LH/665/84,http://www.wikidata.org/entity/Q252357,11937543t
LH/563/70,http://www.wikidata.org/entity/Q256786,14755841z
LH/1151/47,http://www.wikidata.org/entity/Q263505,11905101p
19800035/1463/69262,http://www.wikidata.org/entity/Q264193,12088410f
19800035/1463/69262,http://www.wikidata.org/entity/Q264193,154596879
LH/600/20,http://www.wikidata.org/entity/Q265665,149719682
19800035/253/33686,http://www.wikidata.org/entity/Q274217,119147379
LH/2359/31,http://www.wikidata.org/entity/Q274223,12992905j
LH/573/71,http://www.wikidata.org/entity/Q274278,144293135
LH/713/45,http://www.wikidata.org/entity/Q274341,10708160f
LH/2212/46,http://www.wikidata.org/entity/Q274483,13516818c
19800035/7/801,http://www.wikidata.org/entity/Q274978,118938741
LH/2744/10,http://www.wikidata.org/entity/Q279425,122088974
LH/2766/3,http://www.wikidata.org/entity/Q283026,16676465m
LH/2098/68,http://www.wikidata.org/entity/Q284683,13015188h
19800035/293/39409,http://www.wikidata.org/entity/Q285973,123519221
LH/1290/70,http://www.wikidata.org/entity/Q285985,10617467g
LH/1856/45,http://www.wikidata.org/entity/Q286232,11915891m
LH/2490/58,http://www.wikidata.org/entity/Q287244,10635413g
LH/929/28,http://www.wikidata.org/entity/Q289272,17781419r
19800035/752/85259,http://www.wikidata.org/entity/Q292539,12114775m
C/0/14,http://www.wikidata.org/entity/Q296064,12153584m
LH/369/64,http://www.wikidata.org/entity/Q311276,11894093b
19800035/161/20663,http://www.wikidata.org/entity/Q311663,13892401r
LH/2793/132,http://www.wikidata.org/entity/Q315220,11925725r
LH/315/87,http://www.wikidata.org/entity/Q315747,12442993r
19800035/764/86868,http://www.wikidata.org/entity/Q316422,119921234
LH/1630/26,http://www.wikidata.org/entity/Q318984,12362946g
LH/1075/63,http://www.wikidata.org/entity/Q323144,11904162n
19800035/51/6235,http://www.wikidata.org/entity/Q324919,121386135
LH/1605/51,http://www.wikidata.org/entity/Q325338,122015530
LH/354/70,http://www.wikidata.org/entity/Q327306,11893846s
LH/74/48,http://www.wikidata.org/entity/Q327552,12516826v
19800035/809/91969,http://www.wikidata.org/entity/Q330925,14415385v
LH/1183/93,http://www.wikidata.org/entity/Q332457,11905626d
LH/1388/89,http://www.wikidata.org/entity/Q333292,122768675
LH/1271/83,http://www.wikidata.org/entity/Q347539,11907016x
LH/375/12,http://www.wikidata.org/entity/Q1450952,12051880d
LH/965/2,http://www.wikidata.org/entity/Q1451022,11902671h
19800035/235/31103,http://www.wikidata.org/entity/Q1474172,12566522p
LH/722/23,http://www.wikidata.org/entity/Q1479457,12196817v
LH/1128/57,http://www.wikidata.org/entity/Q1479490,14895094b
LH/760/1,http://www.wikidata.org/entity/Q1488829,14541542z
LH/292/22,http://www.wikidata.org/entity/Q1489006,122750144
LH/1229/81,http://www.wikidata.org/entity/Q1495297,121570428
LH/49/74,http://www.wikidata.org/entity/Q1495559,118947969
LH/782/33,http://www.wikidata.org/entity/Q1508873,12126211p
LH/2636/55,http://www.wikidata.org/entity/Q1605715,153173541
LH/100/69,http://www.wikidata.org/entity/Q1644600,12967532x
LH/1206/81,http://www.wikidata.org/entity/Q1684668,130129718
19800035/243/32294,http://www.wikidata.org/entity/Q1684806,14970770t
LH/646/9,http://www.wikidata.org/entity/Q1685460,13561861b
LH/1392/11,http://www.wikidata.org/entity/Q1685608,120031891
LH/296/25,http://www.wikidata.org/entity/Q1685655,15309094q
LH/329/34,http://www.wikidata.org/entity/Q1685675,12405370b
LH/621/28,http://www.wikidata.org/entity/Q1685679,14651260f
LH/413/21,http://www.wikidata.org/entity/Q1697247,12400071n
19800035/736/83598,http://www.wikidata.org/entity/Q1706979,101973988
LH/2539/24,http://www.wikidata.org/entity/Q1709755,13013401z
LH/126/61,http://www.wikidata.org/entity/Q1749718,121533037
LH/2317/36,http://www.wikidata.org/entity/Q1767559,10743240q
LH/2513/50,http://www.wikidata.org/entity/Q1772633,10677927v
LH/463/18,http://www.wikidata.org/entity/Q1797931,125547901
LH/527/68,http://www.wikidata.org/entity/Q1806200,11003811w
LH/537/49,http://www.wikidata.org/entity/Q1835317,14971655w
LH/419/98,http://www.wikidata.org/entity/Q1836889,15495713w
19800035/96/12025,http://www.wikidata.org/entity/Q1861386,124071630
LH/1686/12,http://www.wikidata.org/entity/Q1873405,124335941
LH/1585/31,http://www.wikidata.org/entity/Q1887774,15753846b
LH/560/12,http://www.wikidata.org/entity/Q1897172,17027558x
LH/1514/85,http://www.wikidata.org/entity/Q1911364,16214913b
LH/695/12,http://www.wikidata.org/entity/Q1948324,106670453
LH/2488/6,http://www.wikidata.org/entity/Q1951349,12507918j
LH/1670/34,http://www.wikidata.org/entity/Q1982680,119056748
LH/1788/29,http://www.wikidata.org/entity/Q1995898,14820153c
LH/1930/15,http://www.wikidata.org/entity/Q2058797,13756503p
LH/1675/69,http://www.wikidata.org/entity/Q2060248,15511194m
19800035/1192/37869,http://www.wikidata.org/entity/Q2060503,146475359
LH/1500/81,http://www.wikidata.org/entity/Q2072609,14906637q
LH/389/51,http://www.wikidata.org/entity/Q2074492,12408356h
LH/586/55,http://www.wikidata.org/entity/Q2077885,121099635
LH/2328/5,http://www.wikidata.org/entity/Q2085926,150139515
LH/2313/57,http://www.wikidata.org/entity/Q2087458,12365535f
LH/2394/46,http://www.wikidata.org/entity/Q2087467,123351571
LH/1776/32,http://www.wikidata.org/entity/Q2088298,14748997c
LH/928/47,http://www.wikidata.org/entity/Q2140000,14005799r
19800035/308/41540,http://www.wikidata.org/entity/Q2178760,126309179
LH/1402/4,http://www.wikidata.org/entity/Q2244716,124492251
19800035/210/27528,http://www.wikidata.org/entity/Q2255683,106712593
