nom,leonoreid,diplomes,professions
François Guizot,LH/1249/24,,critique littéraire | traducteur | diplomate | historien | personnalité politique | écrivain
Daniel-François-Esprit Auber,LH/63/8,,musicologue | chorégraphe | pédagogue | compositeur
Jan Henryk Dąbrowski,LH/644/57,,officier
Albert François Lebrun,C/0/16,,entomologiste | personnalité politique | ingénieur
Albert Lebrun,C/0/16,,entomologiste | personnalité politique | ingénieur
Jules Gustave René Coty,C/0/22,,personnalité politique | avocat
Vincent Auriol,C/0/21,,résistant | personnalité politique | avocat
Louis-Nicolas Davout,LH/675/37,,officier | personnalité politique | militaire
Patrice de Mac Mahon,C/0/4,,officier | personnalité politique | militaire
Joseph Louis Proust,LH/2233/51,,aérostier | chimiste | pharmacien
Prosper Mérimée,LH/1837/26,,inspecteur général des monuments historiques | romancier | anthropologue | archéologue | peintre | traducteur | dramaturge | historien | personnalité politique | écrivain
Marcel Dassault,C/0/23,,ingénieur en aérospatiale | producteur de cinéma | aviateur | inventeur | entrepreneur | personnalité politique | ingénieur | scénariste
William Ewart Gladstone,LH/1154/28,,statisticien | diplomate | personnalité politique
Paul Reynaud,19800035/706/80585,,journaliste | personnalité politique | avocat
Horace Vernet,LH/2692/9,,artiste graphique | peintre | militaire | photographe
Alfred Nicolas Rambaud,LH/2262/68,,professeur d'université | historien | diplomate | personnalité politique
Simon Newcomb,LH/1984/13,,écrivain de science-fiction | romancier | professeur d'université | économiste | mathématicien | enseignant | écrivain | astronome
Jacques Hadamard,19800035/408/54579,,mathématicien | professeur
Gaston Darboux,LH/658/46,,mathématicien | professeur | écrivain
Jean-Baptiste Dumas,LH/842/77,,professeur d'université | chimiste | pharmacien | personnalité politique | scientifique
Fernand de Brinon,LH/366/46,,journaliste | socialite | avocat
Jules Duboscq,LH/815/21,,photographe
Héraclius de Gramont,LH/1185/32,,officier | militaire
Pierre Dac,19800035/1301/50196,,chansonnier | acteur de cinéma | acteur de théâtre | humoriste | écrivain
Lazare Weiller,19800035/240/31926,,personnalité politique | personnalité du monde des affaires | ingénieur
Eugène Poubelle,LH/2208/25,,diplomate | personnalité politique | avocat
Pierre Gamel,19800035/685/78448,,résistant | personnalité politique
Jean-Victor Poncelet,LH/2195/37,,ingénieur militaire | mathématicien | physicien | professeur | personnalité politique | ingénieur
Jean-Pierre Melville,19800035/1176/36112,,producteur de cinéma | réalisateur | acteur | scénariste
Alexandre Dumas,LH/842/3,,dramaturge de production | dramaturge | écrivain
Henri-Jacques Espérandieu,LH/906/15,,architecte
Émile Loubet,C/0/9,,personnalité politique | avocat
Vincenzo Salvatore Carmelo Francesco Bellini,LH/172/43,,compositeur
Thomas Edward Lawrence,LH/1509/35,,castellologue | autobiographe | espion | anthropologue | archéologue | aviateur | traducteur | officier | diplomate | militaire | écrivain | scénariste
Alfred Dreyfus,LH/803/61,,militaire
Georges Cuvier,LH/643/10,,malacologiste | anthropologue | ichtyologiste | philosophe | archéologue | botaniste | professeur d'université | paléontologue | ornithologue | biologiste | géologue | zoologiste | professeur | personnalité politique | écrivain
Jacques de Reinach,LH/2288/38,,librettiste | banquier | personnalité politique
Joseph Reinach,LH/2288/39,,journaliste | personnalité politique | avocat | écrivain
Jean Behra,19800035/616/69538,,pilote automobile | pilote de moto
Élie Metchnikoff,LH/1848/3,,immunologiste | microbiologiste | entomologiste | physiologiste | biologiste | chimiste | zoologiste | inventeur | médecin
Илья Ильич Мечников,LH/1848/3,,immunologiste | microbiologiste | entomologiste | physiologiste | biologiste | chimiste | zoologiste | inventeur | médecin
Mary Cassatt,LH/2550/9,,graveur | artiste graphique | peintre | photographe
Paul Reclus,LH/2281/44,,professeur d'université | chirurgien | médecin
Fernand Pelez,LH/2082/50,,peintre
Raymond Sabouraud,19800035/565/64356,,mycologue | botaniste | sculpteur | peintre | médecin
Antoine-François Andréossy,LH/36/5,,officier | diplomate | personnalité politique | militaire
Victor Adolphe Malte-Brun,LH/1711/69,,cartographe | géographe
Maurice-Paul-Emmanuel Sarrail,LH/2460/35,,militaire
François de Fossa,LH/1003/68,,guitariste classique | militaire | compositeur
Paul Tannery,LH/2567/6,,historien de la philosophie | helléniste | historien des mathématiques | traducteur | historien | mathématicien | ingénieur
Jean Giono,19800035/1052/21204,,romancier | réalisateur | traducteur | poète | écrivain | scénariste
Henri Martin,19800035/253/33692,,peintre
Pierre Carlier,LH/429/27,,policier | personnalité politique
Pierre Claude François Daunou,LH/668/20,,archiviste | historien | professeur | personnalité politique
Pierre-Claude-François Daunou,LH/668/20,,archiviste | historien | professeur | personnalité politique
Alfred de Musset,LH/1969/60,,romancier | problémiste | dramaturge | bibliothécaire | poète | écrivain
Auguste Dumont,LH/846/5,,sculpteur
عبد القادر الجزائري,LH/2/26,,soldat | résistant | personnalité politique | moudjahid | scientifique
Charles Gounod,LH/1177/67,,compositeur | musicien | organiste | professeur de musique | musicologue | compositeur de musique classique
Frédéric Passy,LH/2064/6,,économiste | personnalité politique
André Mazon,19800035/882/3412,,pédagogue | traducteur | professeur
Théophile Gautier,LH/1098/54,,écrivain
Ramón María Narváez,LH/1975/53,,diplomate | militaire | personnalité politique
Alexis Carrel,19800035/789/89205,,sociologue | physiologiste | chirurgien | biologiste
Alphonse Karr,LH/1394/42,,fleuriste | critique littéraire | romancier | journaliste | conseiller de rédaction | écrivain
Darius Milhaud,19800035/1246/43838,,musicologue | autobiographe | professeur de musique | musicien de jazz | critique musical | pianiste | chef d'orchestre | enseignant | compositeur
Henri Harpignies,LH/1269/8,,graveur | peintre
Alphonse de Lamartine,LH/1454/70,,ministre des Affaires étrangères | autobiographe | prosateur | historien | diplomate | personnalité politique | poète | écrivain
Alphonse de Lamartine,LH/2220/73,,ministre des Affaires étrangères | autobiographe | prosateur | historien | diplomate | personnalité politique | poète | écrivain
Alphonse Laveran,LH/1506/1,,microbiologiste | parasitologue | professeur | médecin
Jan Matejko,LH/1786/54,,professeur d'université | peintre
Adolphe Adam,LH/6/20,,professeur de musique | critique | critique musical | pianiste | compositeur
Pierre Teilhard de Chardin,LH/2573/72,,paléoanthropologue | philosophe | paléontologue | géologue | prêtre catholique | théologie | écrivain
Siméon Denis Poisson,LH/2190/11,,statisticien | professeur d'université | mathématicien | physicien | personnalité politique | astronome
Francis Poulenc,19800035/399/53418,,chorégraphe | librettiste | pianiste | musicien | compositeur
Georges Eugène Haussmann,LH/1272/25,,haut fonctionnaire | urbaniste | architecte | personnalité politique
Raymond Poincaré,C/0/11,,journaliste | personnalité politique | avocat
Étienne Geoffroy Saint-Hilaire,LH/1115/16,,ornithologue | biologiste | zoologiste | personnalité politique | naturaliste
Ferdinand Foch,LH/988/37,,officier | militaire
Jules Massenet,LH/1778/38,,musicologue | professeur de musique | librettiste | professeur d'université | organiste | pianiste | compositeur
Benjamin Nicolas Marie Appert,LH/44/13,,philanthrope | écrivain
Marie Noël,19800035/898/5032,,diariste | poète | écrivain
Jean Janvier,19800035/224/29499,,personnalité politique | personnalité du monde des affaires
Jules Lemaître,LH/1575/63,,critique littéraire | écrivain
Paul Bourget,LH/329/8,,essayiste | romancier | critique littéraire | journaliste | dramaturge | poète | écrivain
Jules Rimet,19800035/1342/55610,,personnalité politique
Paul Valéry,LH/2663/59,,essayiste | philosophe | critique littéraire | journaliste | professeur | poète | écrivain
Jean-Pierre Barillet-Deschamps,LH/116/6,,horticulteur | architecte paysagiste | jardinier
Élie Decazes,LH/682/2,,diplomate | personnalité politique | avocat | juge
"Élie, duc Decazes",LH/682/2,,diplomate | personnalité politique | avocat | juge
Dominique Dufour de Pradt,C/0/37,,prêtre catholique | historien | diplomate | personnalité politique | écrivain
Dominique-Georges-Frédéric Dufour de Pradt,C/0/37,,prêtre catholique | historien | diplomate | personnalité politique | écrivain
Mário de Andrade,19800035/902/5503,,musicologue | critique d'art | romancier | journaliste | poète | photographe | écrivain
James Whistler,LH/2755/18,,lithographe | graveur | aquafortiste | artiste graphique | peintre | illustrateur | écrivain
Gustave Moreau,LH/1928/29,,sculpteur | peintre
Paul Leroy,19800035/223/29449,,peintre
Zinovi Pechkoff,19800035/702/80144,,résistant | diplomate | militaire
Jean Frédéric Frenet,LH/1034/11,,mathématicien | astronome
Jean Pons Guillaume Viennet,LH/2698/61,,librettiste | dramaturge | personnalité politique | poète | écrivain
Jean-Pons-Guillaume Viennet,LH/2698/61,,librettiste | dramaturge | personnalité politique | poète | écrivain
Maurice Emmanuel,19800035/463/61865,,historien de la musique | professeur de musique | musicologue | professeur d'université | compositeur
Camille Borghèse,LH/297/3,,officier | militaire
Édouard Estaunié,19800035/463/61886,,ingénieur | écrivain
Gaspard Monge,C/0/66,,professeur d'université | chimiste | mathématicien | physicien | personnalité politique | ingénieur
Claude Joseph Rouget de Lisle,LH/2395/8,,auteur-compositeur | dramaturge | poète | ingénieur | militaire | compositeur | écrivain
Roland Garros,LH/1081/36,,joueur de rugby à XV | aviateur | militaire
Émile Friant,LH/1037/84,,peintre
Léo Delibes,LH/713/3,,professeur d'université | organiste | musicien | compositeur
Joseph Joffre,LH/1368/55,,ingénieur militaire | militaire
Claude Bernard,LH/194/69,,physiologiste | médecin écrivain | psychologue | professeur | personnalité politique
Ferdinand de Lesseps,LH/1616/85,,diplomate | entrepreneur
Paul Pau,LH/2779/6,,militaire
Joris-Karl Huysmans,LH/1331/52,,critique littéraire | critique d'art | romancier | auteur | écrivain
André Ernest Modeste Grétry,LH/1199/59,,compositeur | écrivain
Jean-Léon Gérôme,LH/1124/65,,sculpteur | peintre | enseignant
Jules Henri Fayol (nombre de nacimiento),LH/950/16,,géologue | économiste | entrepreneur | ingénieur | écrivain
Henry Fayol Le Maire,LH/950/16,,géologue | économiste | entrepreneur | ingénieur | écrivain
Emmerich Joseph de Dalberg,LH/648/10,,diplomate | personnalité politique
Joseph Liouville,LH/1645/8,,mathématicien | professeur | personnalité politique | ingénieur
Charles Richet,19800035/42/5213,,immunologiste | physiologiste | espérantiste | psychologue | médecin | écrivain
"Alexandre-Théodore-Victor, comte de Lameth",LH/2788/39,,officier | personnalité politique | écrivain
Charles-Marie Widor,LH/2752/53,,compositeur de musique classique | professeur de musique | arrangeur musical | organiste | professeur d'université | critique musical | enseignant
Paul Dukas,19800035/167/21510,,professeur de musique | chorégraphe | pédagogue | professeur d'université | pianiste | musicien | compositeur
Marie François Sadi Carnot,C/0/6,,ingénieur civil | personnalité politique | ingénieur
Hippolyte Fizeau,LH/977/56,,physicien | ingénieur | astronome
Pierre Puvis de Chavannes,LH/2242/14,,peintre | photographe
Joseph Fouché,LH/1006/86,,essayiste | diplomate | personnalité politique | avocat | enseignant
Antoine-Jean Gros,LH/1206/51,,artiste | peintre
Paul Brouardel,LH/374/16,,pathologiste | professeur d'université | médecin
Paul Brouardel,LH/374/17,,pathologiste | professeur d'université | médecin
Léon Bourgeois,LH/328/28,,diplomate | personnalité politique | juge
Maurice Gamelin,19800035/156/19866,,militaire
Sidonie-Gabrielle Colette,C/0/52,,prosateur | nouvelliste | romancier | librettiste | journaliste | prête-plume | dramaturge | écrivain | acteur | scénariste
Louis Étienne Watelet,LH/2748/54,,peintre
Constant Troyon,LH/2635/39,,peintre
André Citroën,LH/540/11,,industriel | entrepreneur | ingénieur
Stanislas-Arthur-Xavier Touchet,LH/2615/64,,prêtre catholique
Eugène Merle,LH/1841/5,,journaliste | éditeur
Frédéric Auguste Bartholdi,LH/128/45,,sculpteur | peintre
Édouard Lalo,LH/1452/27,,compositeur de musique classique
Alphonse Daudet,LH/666/97,,autobiographe | romancier | dramaturge | poète | écrivain | scénariste
Margaret Brown,LH/376/34,,survivant | socialite | acteur | philanthrope
Alexandra David-Néel,19800035/1182/36826,,féministe | anarchiste | diariste | anthropologue | explorateur | artiste lyrique | écrivain
Louis Renault,LH/2299/33,,professeur d'université | pédagogue | juriste | avocat | juge
Marie Laurencin,19800035/222/29229,,graveur | scénographe | peintre | illustrateur | poète
Marguerite Long,19800035/695/79470,,professeur de musique | pianiste
Charles Nicolle,19800035/99/12464,,bactériologiste | microbiologiste | biologiste | professeur | médecin
Nina Ricci,19800035/1024/18177,,grand couturier
Cécile Chaminade,19800035/136/17159,,pianiste | musicien | compositeur
Paul Henri Balluet d'Estournelles de Constant,LH/100/10,,diplomate | personnalité politique | écrivain | juge
Paul-Henri-Benjamin d'Estournelles de Constant,LH/100/10,,diplomate | personnalité politique | écrivain | juge
