nom,leonoreid,diplomes,professions
Johann Wolfgang von Goethe,LH/1163/7,licence,diariste | autobiographe | théoricien de l'art | minéralogiste | librettiste | homme de lettres | romancier | philosophe | écrivain voyageur | critique d'art | artiste visuel | aphoriste | botaniste | directeur de théâtre | juriste-poète | critique musical | théologien | peintre | homme d'État | zoologiste | Esprit universel | dramaturge | diplomate | juriste | bibliothécaire | physicien | personnalité politique | poète | avocat | compositeur | écrivain
Antoine Henri Becquerel,LH/161/77,baccalauréat universitaire ès sciences | doctorat ès sciences,physicien nucléaire | professeur d'université | chimiste | physicien | ingénieur
Maurice René Fréchet,19800035/1192/37916,doctorat,mathématicien | statisticien | professeur d'université | espérantiste
Henri Bergson,LH/191/38,doctorat,philosophe | sociologue | professeur | écrivain
Marie-Joseph-Alfred Croiset,LH/632/51,doctorat | agrégation de lettres,philologue classique | helléniste | professeur d'enseignement secondaire | professeur adjoint | professeur d'université | maître de conférences | traducteur
Henry Marie Radegonde Martin,19800035/205/26784,archiviste paléographe,archiviste paléographe | archiviste
Édouard Philipon,19800035/258/34444,archiviste paléographe | doctorat en droit,magistrat | personnalité politique
Georges André Railliet,19800035/1054/21406,docteur en médecine,pédiatre | historien local | médecin
Jean Joseph Augustin Ernest Faivre,LH/926/26,docteur en médecine,entomologiste | physiologiste | médecin | enseignant
Hippolyte Alphonse Quénault,LH/2245/54,doctorat en droit,conseiller d'État | personnalité politique | avocat | juge
André Eugène Barthélémy de Stadler,LH/2547/11,archiviste paléographe,historien | écrivain
Alexandre Guillet,LH/1240/9,laurea,personnalité politique | avocat
Charles Gabriel Laurent,LH/1500/49,laurea,magistrat | personnalité politique
Claude-Marie Bastian,LH/132/41,laurea,propriétaire de biens | personnalité politique | avocat
Charles-Ange Laisant,LH/1447/5,doctorat ès sciences,journaliste | espérantiste | mathématicien | personnalité politique | militaire
Samuel Bing,LH/243/6,,collectionneur d'œuvres d'art | marchand d'art
Salomon Munk,LH/1967/9,,philosophe | orientaliste | arabisant | traducteur | professeur
Charles Benoît Hase,LH/1270/15,,philologue classique | helléniste | érudit classique | archéologue | bibliothécaire | professeur
Jean-Chrétien-Ferdinand Hœfer,LH/1304/70,,lexicographe | historien | médecin | écrivain
Louis Aloÿs de Hohenlohe-Waldenbourg-Bartenstein,LH/1305/72,,officier | personnalité politique | militaire
Albert Anker,LH/40/16,,illustrateur | peintre
Johann Gottfried Tulla,LH/2637/89,,professeur d'université | ingénieur
Charles-Frédéric Reinhard,LH/2288/67,,diplomate | personnalité politique | écrivain
Adolphe Brongniart,LH/371/72,,botaniste | paléontologue
Jacques Peirotes,19800035/1373/58673,,personnalité politique
Jacques Peirotes,19800035/1373/58673,,personnalité politique
André Bellessort,19800035/722/82176,,historien de la littérature | critique littéraire | romancier | romaniste | poète | écrivain
Samuel Finley Breese Morse,LH/1943/17,,professeur d'université | sculpteur | peintre | inventeur | physicien | photographe
Robert Redslob,19800035/435/58224,,sociologue | professeur d'université | juriste
Romain Bussine,LH/397/77,,professeur de musique | musicologue | professeur de chant | artiste lyrique | chanteur | poète | compositeur
Louis Charles Vincent Le Blond de Saint-Hilaire,LH/1516/80,,officier | militaire
Michel Joseph Maunoury,LH/1799/22,,officier
Jean de Lattre de Tassigny,19800035/22/2808,,militaire
