departement,ville,coordonnesgroup
Hornoy-le-Bourg,Selincourt,Point(1.901111111 49.877222222)
Bordeaux Métropole,Saint-Médard-en-Jalles,Point(-0.7175 44.895555555)
canton de Valenciennes-Est,Sebourg,Point(3.646666666 50.342222222)
Hérault,Prades,Point(3.864722222 43.698888888)
arrondissement d'Albertville,Ugines,Point(6.419722222 45.752777777)
arrondissement de Nîmes,Saint-Mamert,Point(4.188611111 43.8875)
arrondissement de Nîmes,Saint-Mamert-du-Gard,Point(4.188611111 43.8875)
arrondissement de Reims,Saint-Souplet,Point(4.465277777 49.236666666)
canton de Pinols,Pinols,Point(3.413611111 45.051666666)
arrondissement de Saint-Lô,Saint-Romphaire,Point(-1.105833333 49.038888888)
arrondissement de Montbrison,Veauche,Point(4.278055555 45.561944444)
canton de Montbarrey,Vaudrey,Point(5.621944444 46.979166666)
Bayard-sur-Marne,Prez-sur-Marne,Point(5.050277777 48.562777777)
canton de La Pacaudière,Saint-Forgeux-Lespinasse,Point(3.931111111 46.123333333)
communauté de communes de Vère Grésigne,Tauriac,Point(1.591944444 43.883888888)
canton des Trois-Moutiers,Roiffé,Point(0.052222222 47.124722222)
arrondissement de Marmande,Seyches,Point(0.305 44.549722222)
arrondissement de Béziers,Pézenas,Point(3.422777777 43.459444444)
canton de Cruzini-Cinarca,Rezza,Point(8.943055555 42.125277777)
Fougères Agglomération,Vendel,Point(-1.311388888 48.299166666)
arrondissement de Strasbourg-Campagne,Schiltigheim,Point(7.749166666 48.606944444)
arrondissement de Strasbourg-Campagne,Truchtersheim,Point(7.606944444 48.662777777)
canton de Marchenoir,Saint-Laurent-des-Bois,Point(1.447777777 47.850833333)
arrondissement de Clermont-Ferrand,Tours,Point(3.576111111 45.671944444)
arrondissement de Strasbourg-Campagne,Reichstett,Point(7.752222222 48.645833333)
arrondissement de Libourne,Saint-Philippe-du-Seignal,Point(0.254722222 44.8275)
arrondissement de Libourne,Vignonet,Point(-0.146388888 44.846111111)
arrondissement de Libourne,Villegouge,Point(-0.3075 44.967222222)
arrondissement de Mont-de-Marsan,Vielle-Tursan,Point(-0.450555555 43.675555555)
Marne,Suippes,Point(4.531944444 49.13)
arrondissement de Nevers,Verneuil,Point(3.569722222 46.866944444)
arrondissement de Vannes,Vannes,Point(-2.761666666 47.655)
arrondissement d'Avranches,Saint-Jean-du-Corail,Point(-0.909166666 48.609166666)
arrondissement d'Avranches,Saint-Planchers,Point(-1.525833333 48.823055555)
arrondissement d'Issoire,Saint-Martin-d'Ollières,Point(3.449722222 45.421666666)
arrondissement d'Issoire,Saint-Sauves-d'Auvergne,Point(2.687777777 45.606666666)
arrondissement de Saint-Lô,Tribehou,Point(-1.243888888 49.213888888)
arrondissement de Clermont-Ferrand,Saint-Saturnin,Point(3.092222222 45.659444444)
canton d'Épinac,Saint-Gervais-sur-Couches,Point(4.583888888 46.920555555)
canton de Neuville-aux-Bois,Vennecy,Point(2.055277777 47.953888888)
canton de Formerie,Saint-Valery,Point(1.734444444 49.726111111)
canton d'Amiens 1er,Saveuse,Point(2.2175 49.899722222)
arrondissement d'Épinal,Saulxures-sur-Moselotte,Point(6.769166666 47.949444444)
arrondissement de L'Haÿ-les-Roses,Villeneuve-le-Roi,Point(2.410833333 48.734444444)
arrondissement de Carcassonne,Ricaud,Point(1.890833333 43.345833333)
arrondissement d'Issoire,Vernet-la-Varenne,Point(3.451666666 45.474722222)
Haut-Rhin,Retzwiller,Point(7.093333333 47.631111111)
Haut-Rhin,Riespach,Point(7.2875 47.540555555)
arrondissement de Saint-Nazaire,Pontchâteau,Point(-2.087777777 47.436944444)
canton d'Haroué,Vaudeville,Point(6.201111111 48.458888888)
arrondissement de Carcassonne,Villepinte,Point(2.086388888 43.281388888)
arrondissement de Montbéliard,Pont-de-Roide,Point(6.77 47.384722222)
canton de Moyeuvre-Grande,Vitry-sur-Orne,Point(6.108888888 49.265555555)
Loir-et-Cher,Saint-Cyr-du-Gault,Point(1.03 47.621111111)
Loir-et-Cher,Saint-Gourgon,Point(1.017222222 47.660833333)
Loir-et-Cher,Saint-Hilaire-la-Gravelle,Point(1.206666666 47.924444444)
Loir-et-Cher,Saint-Martin-des-Bois,Point(0.827222222 47.7225)
Loir-et-Cher,Seigy,Point(1.398055555 47.254444444)
Loir-et-Cher,Selles-Saint-Denis,Point(1.9225 47.385833333)
Loir-et-Cher,Theillay,Point(2.040277777 47.313888888)
canton de Fénétrange,Schalbach,Point(7.170555555 48.822777777)
arrondissement de Compiègne,Venette,Point(2.799722222 49.415555555)
arrondissement de Provins,Saint-Germain-Laval,Point(2.996666666 48.399166666)
arrondissement de Béziers,Sérignan,Point(3.2775 43.28)
Pas-de-Calais,Sallaumines,Point(2.862222222 50.419722222)
canton de Saint-Méen-le-Grand,Saint-Onen-la-Chapelle,Point(-2.172777777 48.176944444)
Bordeaux Métropole,Talence,Point(-0.588308 44.808598)
arrondissement de Nevers,Saint-Benin-d'Azy,Point(3.392777777 46.999444444)
arrondissement de Forbach,Suisse,Point(6.579444444 48.965833333)
arrondissement d'Argelès-Gazost,Salles,Point(-0.120277777 43.028055555)
canton de Patay,Saint-Sigismond,Point(1.680277777 47.981111111)
arrondissement de Brignoles,Pignans,Point(6.226666666 43.300555555)
arrondissement de Chambéry,Voglans,Point(5.895833333 45.6325)
arrondissement de Villefranche-sur-Saône,Saint-Georges-de-Reneins,Point(4.721666666 46.061944444)
arrondissement des Sables-d'Olonne,Saint-Christophe-du-Ligneron,Point(-1.763055555 46.824166666)
arrondissement des Sables-d'Olonne,Saint-Gilles-Croix-de-Vie,Point(-1.944444444 46.6975)
Charente-Maritime,Plassay,Point(-0.725277777 45.818611111)
Charente-Maritime,Pouillac,Point(-0.251111111 45.268888888)
Charente-Maritime,Saint-Bonnet-sur-Gironde,Point(-0.66 45.354444444)
arrondissement de Besançon,Rognon,Point(6.311944444 47.424722222)
arrondissement de Calvi,Rutali,Point(9.363333333 42.579722222)
arrondissement de Calvi,Sorio,Point(9.273888888 42.583055555)
arrondissement de Nice,Roquebillière,Point(7.306944444 44.011111111)
arrondissement de Nantua,Sonthonnax-la-Montagne,Point(5.524166666 46.233055555)
canton de Montfaucon-en-Velay,Saint-Julien-Molhesabate,Point(4.426388888 45.186111111)
canton de Quérigut,Quérigut,Point(2.098611111 42.699166666)
canton d'Espelette,Sare,Point(-1.580277777 43.312777777)
arrondissement de Châteaubriant-Ancenis,Saint-Géréon,Point(-1.198333333 47.369166666)
arrondissement de Châteaubriant-Ancenis,Saint-Mars-la-Jaille,Point(-1.184722222 47.525277777)
arrondissement de Châteaubriant-Ancenis,Saint-Sulpice-des-Landes,Point(-1.206111111 47.574722222)
Vienne,Prinçay,Point(0.244444444 46.933333333)
arrondissement d'Avranches,Saint-Cyr-du-Bailleul,Point(-0.8 48.565833333)
arrondissement de Carcassonne,Plavilla,Point(1.913611111 43.146944444)
arrondissement de Carcassonne,Pradelles-en-Val,Point(2.514166666 43.145555555)
arrondissement de Carcassonne,Rouffiac-d'Aude,Point(2.298888888 43.128333333)
arrondissement de Carcassonne,Saint-Paulet,Point(1.877777777 43.406111111)
arrondissement de Carcassonne,Soupex,Point(1.895277777 43.378611111)
arrondissement de Carcassonne,Vignevieille,Point(2.524444444 43.005555555)
arrondissement de Carcassonne,Villeneuve-la-Comptal,Point(1.921388888 43.286944444)
arrondissement de Carcassonne,Villespy,Point(2.098055555 43.319166666)
arrondissement de Rennes,Retiers,Point(-1.381944444 47.913333333)
arrondissement de Rennes,Saint-Christophe-des-Bois,Point(-1.2475 48.226666666)
arrondissement de Nevers,Saint-Firmin,Point(3.391666666 47.043333333)
Savoie,Saint-Paul,Point(5.784722222 45.6775)
Eure,Sancourt,Point(1.686111111 49.354166666)
canton de Génolhac,Ponteils-et-Brésis,Point(3.976666666 44.402222222)
arrondissement de Saint-Nazaire,Savenay,Point(-1.94215 47.36072) | Point(-1.941944444 47.361111111)
arrondissement d'Avranches,Saint-Brice-de-Landelles,Point(-1.1525 48.533611111)
arrondissement d'Avranches,Saint-Jean-des-Champs,Point(-1.464722222 48.8275)
