pays,capitale,coordonnees
Andorre,Andorre-la-Vieille,Point(1.5 42.5)
Luxembourg,Luxembourg,Point(6.132777777 49.610555555)
Afrique du Sud,Le Cap,Point(18.425 -33.925)
Liechtenstein,Vaduz,Point(9.521944444 47.139722222)
Estonie,Tallinn,Point(24.745 59.437222222)
Pays-Bas,Haarlem,Point(4.640555555 52.380277777)
Malaisie,Kuala Lumpur,Point(101.695277777 3.147777777)
Biélorussie,Minsk,Point(27.561837 53.902246)
califat Rachidun,Ctésiphon,Point(44.580833 33.093611)
Malte,La Valette,Point(14.5125 35.897777777)
Maldives,Malé,Point(73.508333333 4.175)
Laos,Vientiane,Point(102.6 17.966666666)
Bhoutan,Thimphou,Point(89.633333333 27.483333333)
Soudan du Sud,Djouba,Point(31.6 4.85)
Russie,Ijevsk,Point(53.216666666 56.85)
Turkménistan,Achgabat,Point(58.383333333 37.95)
Irlande,Dublin,Point(-6.260277777 53.349722222)
Corée du Sud,Séoul,Point(126.99 37.56)
Arménie,Erevan,Point(44.514444444 40.181388888)
Royaume-Uni,Port Stanley,Point(-57.849556 -51.693861)
Yémen,Sanaa,Point(44.2 15.35)
Nauru,Yaren,Point(166.920867 -0.5477)
Royaume-Uni,Hamilton,Point(-64.801388888 32.2975)
Inde,Cherrapunji,Point(91.724166666 25.279166666)
Roumanie,Bucarest,Point(26.083333333 44.4)
République populaire de Chine,Nankin,Point(118.766666666 32.05)
Viêt Nam,Hanoï,Point(105.84117 21.0245)
Pays-Bas,Philipsburg,Point(-63.043333333 18.024166666)
Mongolie,Oulan-Bator,Point(106.917222222 47.920277777)
Lettonie,Riga,Point(24.106944444 56.9475)
Îles Marshall,Majuro,Point(171.3802 7.0918)
Hongrie,Budapest,Point(19.040833333 47.498333333)
Royaume-Uni,Édimbourg,Point(-3.198888888 55.95)
Niue,Alofi,Point(-169.921 -19.056)
Corée du Nord,Pyongyang,Point(125.73 39.03)
Bahamas,Nassau,Point(-77.333333333 25.066666666)
Arabie saoudite,Jizan,Point(42.561111111 16.889166666)
Somalie,Mogadiscio,Point(45.3425 2.040833333)
Tadjikistan,Douchanbé,Point(68.786388888 38.573055555)
Timor oriental,Dili,Point(125.573611111 -8.558611111)
Nicaragua,Managua,Point(-86.266666666 12.15)
Suisse,Aarau,Point(8.0446 47.3923)
Soudan,Khartoum,Point(32.52654 15.60308)
Cambodge,Phnom Penh,Point(104.921027777 11.569583333)
Équateur,Quito,Point(-78.509722 -0.218611)
Honduras,Tegucigalpa,Point(-87.206666666 14.094166666)
Panama,Panama,Point(-79.5 9.0)
Pologne,Cracovie,Point(19.937222222 50.061388888)
Pays-Bas,Leeuwarden,Point(5.783333333 53.2)
Moldavie,Chișinău,Point(28.835277777 47.022777777)
Paraguay,Asuncion,Point(-57.633333333 -25.3)
Espagne,Madrid,Point(-3.691944444 40.418888888)
Brésil,Brasilia,Point(-47.882777777 -15.793888888)
Colombie,Bogota,Point(-74.0705 4.612638888)
"Sainte-Hélène, Ascension et Tristan da Cunha",Jamestown,Point(-5.717916666 -15.925138888)
Salvador,San Salvador,Point(-89.191388888 13.698888888)
Royaume-Uni,Jamestown,Point(-5.717916666 -15.925138888)
Bolivie,Sucre,Point(-65.25917 -19.04306)
Australie,Canberra,Point(149.126944444 -35.293055555)
Algérie,Alger,Point(3.058611111 36.776388888)
Australie,Sydney,Point(151.2 -33.866666666)
Tuvalu,Funafuti,Point(179.19417 -8.52425)
Tunisie,Tunis,Point(10.18 36.800833333)
Albanie,Tirana,Point(19.82 41.33)
Belize,Belmopan,Point(-88.7675 17.25)
Suriname,Paramaribo,Point(-55.166666666 5.866666666)
Russie,Smolensk,Point(32.045277777 54.782777777)
Maroc,Rabat,Point(-6.836111111 34.025277777)
Népal,Katmandou,Point(85.366666666 27.716666666)
Costa Rica,San José,Point(-84.083333333 9.933333333)
Pérou,Lima,Point(-77.033333333 -12.05)
Canada,Ottawa,Point(-75.695 45.424722222)
Chili,Santiago,Point(-70.666666666 -33.45)
