pays,ville,coordonnesgroup
Maroc,Aïn Harrouda,Point(-7.448333333 33.637222222)
Maroc,Ain Taoujdate,Point(-5.21666667 33.93333333)
Maroc,Driouch,Point(-3.42228 34.86653) | Point(-3.383333333 34.983333333)
Maroc,Guettaya,Point(-5.921388888 32.654166666)
Maroc,Aïn Karma,Point(-5.6182 34.0071)
Maroc,Bin el Ouidane,Point(-6.475 32.10833333)
Maroc,Bni Bounsar,Point(-4.423055555 34.844444444)
Maroc,Tiznit,Point(-9.72694 29.7)
Maroc,Farkhana,Point(-3.01444444 35.28694444)
Maroc,Ouezzane,Point(-5.6 34.8)
Maroc,Taghazout,Point(-9.7092 30.5448) | Point(-9.709699 30.545597)
Maroc,Temsia,Point(-9.41444 30.363333)
Maroc,El Guerdane,Point(-7.95 29.65)
Maroc,El Menzeh,Point(-6.853055555 33.855277777)
Maroc,Tissa,Point(-4.66666667 34.28333333) | Point(-4.14083 35.0228)
Maroc,Guenfouda,Point(-2.04555556 34.48361111)
Maroc,Had Bouhssoussen,Point(-6.1348 33.13496) | Point(-6.07972222 33.14861111)
Maroc,Harhoura,Point(-6.95273 33.93675) | Point(-6.93 33.95)
Maroc,Tamegroute,Point(-5.682027777 30.261222222)
Maroc,Biougra,Point(-9.370833 30.214444)
Maroc,Jorf El Melha,Point(-5.51694444 34.48333333) | Point(-5.50469 34.49448)
Maroc,Ksar El Kébir,Point(-5.9 35.0)
Maroc,Salé,Point(-6.816667 34.05)
Maroc,Moulay Idriss Zerhoun,Point(-5.51832 34.05594)
Maroc,Assilah,Point(-6.033333333 35.466666666)
Maroc,Oulad Amrane,Point(-5.96666667 35.21666667)
Maroc,Oulad M'Barek,Point(-6.43278 32.2878)
Maroc,Oulad Yaich,Point(-6.33333 32.4167)
Maroc,Sidi Smaïl,Point(-8.5 32.81666667)
Maroc,Rislane,Point(-2.431111111 34.758333333)
Maroc,Sabaa Aiyoun,Point(-5.37861111 33.90305556) | Point(-5.3722 33.90417) | Point(-5.36109 33.89689) | Point(-5.36666667 33.9)
Maroc,Saka,Point(-3.41667 34.6167)
Maroc,Berkane,Point(-2.316666666 34.916666666)
Maroc,Tanalt,Point(-9.16666667 29.78333333)
Maroc,Thar Es-Souk,Point(-4.278611111 34.651944444)
Maroc,Tighassaline,Point(-5.65166667 32.78222222)
Maroc,Kasba Tadla,Point(-6.26 32.6)
Maroc,Béni Mellal,Point(-6.360833333 32.339444444)
Maroc,Bni Chiker,Point(-3.0150692 35.2735291)
Maroc,Kelaat-M'Gouna,Point(-6.128333333 31.241388888)
Maroc,Télouet,Point(-7.23722222 31.28833333) | Point(-7.17601 31.29383)
Maroc,Chichaoua,Point(-8.766666666 31.533333333)
Maroc,Ifrane,Point(-5.116666666 33.533333333)
Maroc,Karia Ba Mohamed,Point(-5.21225 34.36307) | Point(-5.2 34.36666667)
Maroc,Sid L'Mokhtar,Point(-9.01 31.57)
Maroc,Sidi Yahya El Gharb,Point(-6.30583333 34.30583333)
Maroc,Ifrane Atlas Saghir,Point(-9.49688 29.21752) | Point(-9.492875 29.21061111)
Maroc,Ajdir,Point(-3.912 35.193)
Maroc,Oualili,Point(-5.562777777 34.04)
Maroc,Beni Boughafer,Point(-2.986111111 35.153611111)
Maroc,Oued El Makhazine,Point(-5.85 34.93333333)
Maroc,Zag,Point(-9.3333 28.0167)
Maroc,Abdelghaya Souahel,Point(-4.657222222 34.751944444)
Maroc,Agoudi N'Lkhair,Point(-6.449444444 32.038055555)
Maroc,Ahlaf,Point(-7.2 33.28333333)
Maroc,Aïn Dfali,Point(-4.45 33.95)
Maroc,Ait Mazigh,Point(-6.351666666 32.074722222)
Maroc,Imouzzer Kandar,Point(-5.00832 33.72154) | Point(-5.01 33.73)
Maroc,Aïn Leuh,Point(-5.38333333 33.28333333) | Point(-5.34827 33.3017)
Maroc,Aïn Aïcha,Point(-4.7 34.48333333)
Maroc,Oujda,Point(-1.911388888 34.686666666)
Maroc,Bni Bouchibet,Point(-4.52 34.711388888)
