leonoreid,bnfids,uribnf
19800035/607/68568,10874318v,https://data.bnf.fr/ark:/12148/cb10874318v
19800035/264/35226,13170557j,https://data.bnf.fr/ark:/12148/cb13170557j
LH/1102/54,14424163z,https://data.bnf.fr/ark:/12148/cb14424163z
LH/2291/39,10607837f,https://data.bnf.fr/ark:/12148/cb10607837f
LH/173/66,148530376,https://data.bnf.fr/ark:/12148/cb148530376
LH/36/83,11888836g,https://data.bnf.fr/ark:/12148/cb11888836g
LH/670/80,11898770k,https://data.bnf.fr/ark:/12148/cb11898770k
19800035/238/31633,130123859,https://data.bnf.fr/ark:/12148/cb130123859
LH/1865/5,124272970,https://data.bnf.fr/ark:/12148/cb124272970
LH/2580/41,10718794m,https://data.bnf.fr/ark:/12148/cb10718794m
LH/2248/12,12732459h,https://data.bnf.fr/ark:/12148/cb12732459h
19800035/159/20385,158280895,https://data.bnf.fr/ark:/12148/cb158280895
LH/1935/15,153569517,https://data.bnf.fr/ark:/12148/cb153569517
LH/1618/17,15399533r,https://data.bnf.fr/ark:/12148/cb15399533r
LH/2404/54,107297497,https://data.bnf.fr/ark:/12148/cb107297497
19800035/1410/62998,107043214,https://data.bnf.fr/ark:/12148/cb107043214
LH/472/86,13185013z,https://data.bnf.fr/ark:/12148/cb13185013z
LH/1188/86,13489747p,https://data.bnf.fr/ark:/12148/cb13489747p
LH/1462/63,14429321s,https://data.bnf.fr/ark:/12148/cb14429321s
19800035/284/38157,150094364,https://data.bnf.fr/ark:/12148/cb150094364
19800035/1177/36325,121477393,https://data.bnf.fr/ark:/12148/cb121477393
LH/1340/26,165703511,https://data.bnf.fr/ark:/12148/cb165703511
LH/1365/34,14968335x,https://data.bnf.fr/ark:/12148/cb14968335x
LH/1370/53,12528865f,https://data.bnf.fr/ark:/12148/cb12528865f
19800035/456/60992,12388882x,https://data.bnf.fr/ark:/12148/cb12388882x
LH/29/55,12497886f,https://data.bnf.fr/ark:/12148/cb12497886f
19800035/169/21711,123299094,https://data.bnf.fr/ark:/12148/cb123299094
LH/2493/71,12185861w,https://data.bnf.fr/ark:/12148/cb12185861w
LH/230/54,16600840g,https://data.bnf.fr/ark:/12148/cb16600840g
LH/1736/57,12544121b,https://data.bnf.fr/ark:/12148/cb12544121b
19800035/434/58031,113011579,https://data.bnf.fr/ark:/12148/cb113011579
