leonoreid,noms
LH/1115/18,Ernest Geoffroy de Villeneuve
LH/111/30,Ernest Jacques Barbot
LH/1597/9,Ernest L'Épine
LH/1512/66,Ernest Lebègue
LH/1830/23,Ernest Mercadier
LH/1846/55,Ernest Messner
19800035/665/76430,Ernest Wickersheimer
19800035/740/84058,Ernest Weill
19800035/450/60169,Eugène Brillié
LH/486/80,Eugène Charabot
LH/611/50,Eugène Courmeaux
19800035/148/18861,Eugène Gley
LH/1413/78,Eugène Labaume
LH/2279/3,Eugène Reboulin
LH/2623/57,Eugène Train
LH/2009/22,Eugène Valentin Oberlin de Mittersbach
LH/1201/81,Eugène Victor Adrien Grillon
LH/2776/13,Eugène d'Astorg
LH/1430/68,Eugène de Ladoucette
LH/276/48,Ferdinand-Jean-Jacques de Bon
19800035/241/32054,Ferdinand Baston de La Riboisière
LH/947/21,Ferdinand Favre
LH/1751/79,Ferdinand Marrou
LH/1789/8,Ferdinand Mathieu
LH/1339/79,Fernand Jacopozzi
LH/2263/60,Fernand de Ramel
19800035/114/14344,François de Vergnette de Lamotte
19800035/1249/44242,Félix Théroinne
19800035/446/59687,Gabriel Moiselet
19800035/374/50237,Gaston Brière
19800035/759/86139,Gaston Cheq
19800035/636/73519,Gaston Dassonville
19800035/1445/67190,Gaston Fayet
19800035/869/2135,Gaston Fayet
19800035/1008/16451,Gaston Gérard
19800035/1393/60951,Gaston Roupnel
19800035/124/15603,Gaston Riou
19800035/1150/31485,Geneviève Bianquis
19800035/1121/28324,Georges-Gustave Toudouze
19800035/1416/63731,Georges-Marie Bellenger
19800035/418/55882,Georges Borchard
19800035/7/840,Georges Brincard
19800035/585/66382,Georges Cusin
19800035/542/62092,Georges Foucart
19800035/108/13563,Georges Garreau
19800035/1260/45339,Georges Juskiewenski
19800035/192/25049,Georges Lesieur
19800035/614/69285,Gustave André
19800035/1296/49859,Guy La Chambre
19800035/848/97101,Henri-Paul Deyvaux-Gassier
19800035/54/6585,Henri Avril
LH/314/51,Firmin Bouisset
LH/2583/39,François-Charles Tharreau
LH/741/15,François-Godefroy Desaincthorent
LH/1066/20,François-Joseph Gamon
LH/1461/15,François-Louis Magallon
LH/758/44,François-Philibert Dessaignes
LH/384/90,François-Xavier Bruno
LH/1656/18,François Achille Longet
LH/653/45,Henri Éloi Danel
LH/772/60,Henry-Gabriel Didier
LH/974/21,Isidore Finance
LH/718/57,Jacques-Antoine-Adrien Delort
LH/705/47,Jacques Charles René Delaunay
LH/767/63,Jacques François Laurent Devisme
LH/1594/40,Jean-Alexandre de Bourjolly
LH/124/56,Jean-André Barrot
LH/120/84,Jean-Auguste Barre
LH/1115/88,Jean-Baptiste-Amédée George de La Massonnais
LH/1492/8,Jean-Baptiste-Antoine Lassus
LH/144/66,Jean-Baptiste Baujault
LH/1126/45,Jean-Baptiste Bertrand-Geslin
LH/218/7,Jean-Baptiste Bertrand-Geslin
LH/313/14,Jean-Baptiste Bouillaud
19800035/157/20139,Jean-Baptiste Calvignac
LH/1196/73,Jean-Baptiste Grellet de Beauregard
LH/1755/2,Jean-Baptiste Martenot
LH/1857/30,Jean-Baptiste Meynier
LH/2265/38,Jean-Baptiste Randoing
LH/2686/52,Jean-Baptiste Verchère de Reffye
LH/1685/28,Jean-Baptiste Édouard Maglione
LH/1539/23,Jean-Barthélémy Le Couteulx de Canteleu
LH/1539/24,Jean-Emmanuel Le Couteulx de Canteleu
LH/2018/23,Jean-François O'Mahony
LH/170/47,Jean-François-Joseph Bellel
19800035/397/53186,Jean-Louis Vaudoyer
LH/2218/5,Jean-Marie de Poyferré de Cère
LH/2416/60,Jean-Pascal Rouyer
LH/2774/1,Jean-Pierre Piat
LH/2171/50,Jean Adrien Piron
19800035/371/49870,Jean Ajalbert
LH/30/20,Jean Amic
19800035/1193/37986,Jean Ballard
LH/2543/1,Jean Baptiste Joseph Sourd
LH/1481/109,Jean Baptiste Joseph de Lardemelle
19800035/1439/66511,Jean Bouchaud
LH/313/15,Jean Bouillaud
19800035/458/61240,Jean Coyrard
19800035/135/17140,Jean Dybowski
19800035/256/34112,Jean Izoulet
19800035/266/35601,Jean Laporte
LH/1501/52,Jean Laurent
19800035/232/30811,Jean Leclerc de Pulligny
LH/1623/73,Jean Levaillant
LH/1313/50,Jean Nicolas Houzeau-Muiron
LH/1496/99,Jean Nicolas Laugier
19800035/432/57806,Jean Oberlé
LH/2056/11,Jean Parmentier
LH/2084/13,Jean Pellé
19800035/1307/51178,Jean Roland-Gosselin
19800035/305/41052,Joseph Basset
LH/300/93,Joseph Bosquillon de Frescheville
LH/2322/15,Joseph Etienne Richard
LH/2323/1,Joseph Etienne Richard
LH/1837/17,Joseph Mérilhou
19800035/1253/44692,Joseph Rous
LH/2767/14,Joseph Zangiacomi
LH/2720/38,Joseph de Villeneuve-Bargemon
LH/2034/50,Jules Pagézy
LH/2285/60,Jeanne Julia Bartet
19800035/934/8832,Julien Cazelles
19800035/280/37566,Julien Rouland
LH/648/48,Jean-Baptiste Dalesme
LH/821/23,Jean-Baptiste Duchand de Sancey
LH/496/57,Jean-Louis Charrière
LH/425/37,Jean-Luc Carbuccia
LH/885/56,Jean-Marie Duvergier de Hauranne
LH/412/12,Jean-Pierre-Hugues Cambacérès
LH/318/48,Jean-Pierre Boullé
LH/8/86,Jean Adnet
LH/354/69,Jean Baptiste Fidèle Bréa
LH/331/61,Jean Bourhis
LH/463/82,Jean Chabanon
LH/799/11,Jean Dours
LH/824/14,Jean Duchesne-Fournet
LH/826/73,Jean Ernest Ducos de La Hitte
LH/981/32,Jean Flavigny
LH/507/32,Jean François Chaumont
LH/563/5,Jean Jacques Bernardin Colaud de La Salcette
LH/641/38,Jean Nicolas Curély
LH/63/29,Joseph Victor Aubernon
LH/542/70,Justinien Nicolas Clary
LH/640/22,Laurent Cunin-Gridaine
LH/1136/4,Louis-Charles Gillet de La Jaqueminière
LH/1597/24,Louis Lépine
19800035/236/31265,Louis Noguès
19800035/1217/40578,Louis Roche-Defrance
19800035/1076/23786,Léon Baréty
19800035/870/2202,Léon Martin
LH/1091/43,Marc-Antoine-François de Gaujal
LH/158/65,Marc de Beauvau-Craon
19800035/67/8317,Maurice Dubourg
19800035/939/9279,Maurice Foulon
19800035/1053/21342,Maurice Georges
19800035/568/64606,Maurice Ordinaire
LH/1799/38,Memmie-Rose de Maupas
LH/258/4,Louis-Alexandre Blin de Bourdon
LH/416/87,Louis-Auguste Camus de Richemont
LH/1650/32,François Auguste Logerot
LH/37/24,François Augustin Andry
LH/64/5,François Aubert
LH/914/36,François Evellin
LH/997/61,François Forest
LH/1246/38,François Henri Guiot de La Rochère
LH/2786/63,François Hervé de Saint-Germain
LH/1356/49,François Jaubert
LH/36/41,François Jean-Pierre Eugène Andrieu
LH/1357/12,François Jaubert de Passa
LH/767/47,François Jules Devinck
LH/1484/65,François Laroche
LH/313/25,François Marie Michel de Bouillé
LH/4/10,François Marie d'Aboville
LH/2519/63,François Martin Valentin Simmer
LH/2737/1,François Philippe Voisin
LH/29/97,François Pierre Amey
LH/2333/34,François Ringot
LH/2586/22,François Thévenet
LH/1396/64,François Xavier Antoine de Kentzinger
LH/323/74,Frédéric Edmond Bourdériat
LH/897/63,Frédéric Engel-Dollfus
LH/1590/11,Frédéric Henri Le Normand de Lourmel
LH/1918/16,Frédéric Montenard
LH/1105/2,Guillaume Geefs
LH/967/17,Félix-Sébastien Feuillet de Conches
LH/756/28,Félix Desportes
LH/2356/18,Gabriel ''Adrien'' Robinet de Cléry
LH/62/7,Gabriel Astruc
LH/335/68,Gabriel Bouscaren
LH/2515/16,Gabriel Signoret
LH/699/12,Gaspard Gilbert Delamalle
LH/699/13,Gaspard Gilbert Delamalle
LH/607/66,Gaston Coulondre
LH/2028/45,Gaston Outhenin-Chalandre
LH/32/91,Georges Ancely
LH/62/14,Georges Athénas
C/0/24,Georges Cabanier
LH/795/4,Georges Dottin
LH/1652/59,Georges Loizeau
LH/1341/65,Georges Philippe Jacquemin
LH/2571/18,Georges Taulier
LH/2683/64,Georges Veillat
LH/80/39,Georges d'Avenel
LH/473/77,Georges de Chambray
LH/1113/52,Georges de Genuyt
LH/384/31,Gilbert-Joseph-Martin Bruneteau
LH/971/60,Henri Filhol
LH/370/58,Guillaume-Henri Brochon
LH/945/27,Guillaume-Jean Favard de Langlade
19800035/938/9188,Guillaume Ballu
LH/421/17,Guillaume Capelle
LH/1435/67,Guillaume Joseph Nicolas de Lafon-Blaniac
LH/2324/70,Gustave-Antoine Richelot
LH/2195/24,Gustave-Léonard Pompon-Levainville
LH/803/77,Gustave Dreyfus
LH/1022/14,Gustave Fraipont
LH/1659/62,Guy Lorin
LH/1106/13,Gédéon Geismar
LH/818/59,Hector Emmanuel Dubuquoy
LH/183/51,Henri Beraldi
LH/393/10,Henri Buquet
LH/568/68,Henri Collignon
19800035/256/34096,Henri Houssaye
19800035/130/16499,Henri Maigrot
19800035/1144/30925,Hervé Budes de Guébriant
19800035/1336/54865,Hervé Lauwick
19800035/1464/69369,Hégésippe Jean Légitimus
19800035/145/18412,Jacqueline Domergue
19800035/233/30945,Jacques-Ernest Bulloz
19800035/1190/37650,Jacques Favre de Thierrens
19800035/1239/13114,Jacques Lecompte-Boinet
19800035/1459/68658,Jacques Tréfouël
19800035/233/30938,Jean-Auguste Brutails
19800035/119/14981,Jean-Baptiste Chaumeil
19800035/1065/22617,Jean-François Jannekeyn
19800035/1/13,Jean Alès
19800035/1361/57560,Jean Baylot
19800035/327/44084,Jean Courbon
19800035/15/1937,Jean Fernet
19800035/1203/39001,Jean Guitton
19800035/26/3316,Jean L'Herminier
19800035/1082/24414,Jean Quenette
19800035/319/43037,Joseph Dehove
19800035/729/82855,Henri Foreau
LH/153/47,Henri Jacques Auguste Beaudenom de Lamaze
LH/1564/3,Henri Le Gros
LH/1590/16,Henri Marie Lenoury
LH/1899/59,Henri Moll
19800035/813/92502,Henri Montassier
LH/1981/26,Henri Néraud
LH/2337/53,Henri Pierre Charles Bernardin Risbourg
LH/2440/18,Henri Saladin
19800035/48/5855,Henri Sirot
19800035/710/80958,Henri Spriet
19800035/967/12257,Henri Teitgen
19800035/446/59754,Henri d'Ollone
LH/2426/16,Henri de Ruolz
LH/389/69,Claude Bufnoir
LH/751/57,Louis Auguste Desmarres
LH/2777/51,Sigismond-Frédéric de Berckheim
LH/1995/9,Edmond Nocard
LH/162/50,Joseph Bédier
LH/1410/2,Frédéric Kuhlmann
19800035/97/12110,Auguste Perret
LH/945/4,Amand-Joseph Fava
LH/657/5,Jean-Pierre Dantan
LH/25/63,Adolphe Alphand
LH/352/24,Jacques Raymond Brascassat
LH/1942/70,Aimé Morot
LH/765/65,Théodule Charles Devéria
LH/371/23,"Albert, 4e duc de Broglie"
19800035/460/61581,Henri Desgrange
LH/1625/5,Louis-René Levassor de Latouche Tréville
LH/2675/103,Louis Varney
LH/2622/1,Alphonse Toussenel
LH/2324/45,Gaspard de Prony
LH/1255/13,Georges-Marie Haardt
LH/571/70,Joseph Ludwig Colmar
LH/934/36,Jean Joseph Frédéric Albert Farre
LH/795/45,Félix Charles Douay
LH/1562/43,Alfred Des Cloizeaux
19800035/1486/72786,Anne Amieux
LH/275/1,Amédée Bollée
19800035/1481/72024,Amédée Gastoué
LH/1881/68,Henri Milne Edwards
LH/239/97,Adolphe Billault
19800035/551/62987,George Auriol
LH/818/26,Claude Marie Paul Dubufe
LH/2309/57,Ernest Reyer
LH/1025/5,Auguste-Joseph Franchomme
19800035/323/43514,André Coyne
LH/304/70,Auguste Bouché-Leclercq
19800035/12/1524,Henri Deslandres
19800035/629/72852,Raoul Blanchard
LH/316/6,Louis Boulanger
LH/575/55,Charles Combes
19800035/308/41477,Ernest Münch
LH/87/75,Louis Albert Guislain Bacler d'Albe
LH/907/45,Félix Esquirou de Parieu
LH/1216/67,Alexandre Guéniot
19800035/174/22427,Georges Lecomte
LH/2233/38,Adrien Proust
19800035/1445/67202,Pierre Mac Orlan
LH/110/51,Jules Barbier
LH/141/53,Émile Baudot
LH/1298/16,Pierre-Jules Hetzel
LH/1816/46,Hippolyte Mège-Mouriès
LH/316/18,Pierre-Jules Boulanger
LH/558/33,Augustin Cochin
LH/480/27,Nicolas Changarnier
19800035/910/6256,Félix Kir
LH/1170/52,Jules Gosselet
LH/219/1,Marcel Alexandre Bertrand
LH/1237/27,Antoine Guillemet
LH/2704/10,Antoine Vollon
LH/1747/42,Antonin Marmontel
19800035/70/8661,François Gagnepain
LH/2129/33,Edmond Marie Petitjean
LH/271/89,Gaston Boissier
LH/1379/34,Théodore Simon Jouffroy
LH/1685/55,Valentin Magnan
LH/2175/6,Charles-Philippe Place
19800035/201/26297,Maurice Cossmann
19800035/54/6612,François Baco
LH/541/39,Michel Marie Claparède
LH/510/27,Victor Chauvet
LH/863/93,Guillaume Dupuytren
LH/343/10,Jean-Baptiste Bouvier
LH/100/4,Théodore Ballu
LH/824/1,Louis Duchesne
LH/2127/25,Louis Petit de Julleville
LH/1901/44,Honoré V de Monaco
LH/667/80,Eugène Daumas
LH/2406/4,Camille Rousset
LH/2762/26,Louis Wolowski
LH/201/62,Arthur Bernède
LH/2364/3,Pierre Rode
LH/2043/66,Auguste Mathieu Panseron
LH/549/73,Pierre Clément
LH/599/22,Pascal Coste
LH/1502/8,Hermann Laurent
LH/1616/88,Barthélemy de Lesseps
LH/1187/35,Alfred Grandidier
19800035/734/83323,Lucien Lévy-Dhurmer
LH/1928/49,Jacques-Joseph Moreau
LH/1211/69,Gruby Dávid
LH/1579/70,Alphonse Lemerre
LH/2493/42,Marc Seguin
LH/1473/65,Gustave Lanson
LH/1629/10,Alfred Lévy
LH/2521/6,Eugène Simon
LH/705/57,Jules-Élie Delaunay
LH/1156/45,Gustave Glotz
19800035/1106/26688,Georges Lepape
LH/1321/1,Flavien-Abel-Antoine Hugonin
LH/644/6,Jean Melchior Dabadie de Bernet
LH/758/55,Joseph Marie Dessaix
19800035/202/26493,François Guiguet
LH/2697/11,Pierre Viala
LH/76/2,Alphonse Aulard
LH/520/56,François-Auguste Cheussey
LH/179/48,François Benoist
LH/179/49,François Benoist
19800035/1171/34659,Jacques Vandier
LH/39/51,Jules Anglès
LH/240/41,Félix Billet
LH/1538/36,Félix Le Couppey
LH/111/54,Gabriel Barbou des Courières
LH/2505/24,Gaston Serpette
19800035/741/84128,Serge Voronoff
LH/2684/51,Geoffroy Velten
LH/177/85,Georges Aaron Bénédite
LH/2237/13,Georges Pruvôt
LH/1770/62,Georges Marty
LH/1959/44,Georges Mouton
LH/1259/55,Albin Haller
19800035/212/27794,Charles Albert Waltner
LH/2382/14,Pierre Auguste Roques
LH/277/61,Pierre Napoleon Bonaparte
LH/844/56,Auguste Duméril
19800035/89/11169,Auguste Le Hérissé
LH/1500/30,Auguste Laurent
LH/2193/38,Auguste Pomel
LH/1087/78,Dominique Gauchet
LH/1781/10,Antoine Masson
LH/968/31,Augustin Feyen-Perrin
LH/2732/22,Louis Visconti
19800035/279/37428,Lucien Bossoutrot
19800035/585/66350,René Courtin
19800035/1242/43288,Raymond Schmittlein
LH/1693/14,Louis-Camille Maillard
LH/2609/11,Gaston Tissandier
LH/1012/12,Fernand Foureau
19800035/216/28333,Paul Desjardins
19800035/267/35629,Henri Lavedan
LH/851/27,Guy-Victor Duperré
LH/2008/18,Charles Nungesser
LH/1386/57,Clément Juglar
LH/2108/15,Edmond Perrier
LH/1037/87,Louis Friant
LH/1315/35,Pierre Antoine François Huber
LH/2082/47,Jean Pelet
LH/1023/24,François-Louis Français
LH/2351/64,Albert Robida
LH/1826/7,Prosper Menière
LH/358/36,Jacques Antoine Charles Bresse
LH/684/52,Adrien Decourcelle
LH/1273/49,Ernest Havet
LH/2155/82,Alexis Pierron
LH/1030/38,José Frappa
LH/859/58,Jules Dupré
LH/2300/44,Léon Renier
LH/235/67,Fulgence Bienvenüe
LH/235/68,Fulgence Bienvenüe
19800035/610/68816,Georges Thierry d'Argenlieu
C/0/56,Pierre Dupont de l'Étang
LH/400/2,Louis-Nicolas Cabat
LH/1522/15,Joseph Le Brix
LH/1628/33,"Pierre Marc Gaston de Lévis, Duke of Lévis"
LH/2740/47,Camille Walch
LH/611/13,Vincent Courdouan
LH/485/50,Charles-Pierre Chapsal
LH/140/43,Charles Baudin
LH/397/94,Charles Busson
19800035/219/28754,Charles Fouqueray
LH/1883/3,Charles Joseph Minard
19800035/1408/62720,Charles Silver
LH/2605/24,Charles Thurot
LH/967/16,Octave Feuillet
LH/1675/48,Antoine Lumière
LH/744/34,Claude Deschamps
LH/1101/18,Claude Gay Mouret
LH/681/23,Claude Théodore Decaen
LH/2233/3,Auguste-Léopold Protet
LH/2486/19,Franz Schrader
19800035/1415/63612,Denys Amiel
LH/1931/13,Louis-Élie Moreau de Saint-Méry
LH/2026/69,Paul Oudin
LH/500/22,David Chassé
19800035/245/32564,Édouard Delamare-Deboutteville
LH/1463/55,Étienne Lamy
LH/455/71,Louis-Marie Caverot
LH/14/6,Jean Alaux
LH/779/23,Henri de Dion
LH/1585/35,François-Frédéric Lemot
LH/24/55,Armand-Octave-Marie d’Allonville
LH/1856/22,Paul Meyer
LH/1256/52,Jean Nicolas Pierre Hachette
LH/789/38,Maurice Donnay
19800035/962/11738,Léon Martinaud-Déplat
19800035/2/230,Yvonne Beauvais
LH/102/35,Edmond Bapst
19800035/176/22683,Edmond Bouty
LH/561/21,Edmond Coignet
LH/123/12,Louis-Ernest Barrias
LH/2581/67,Eduard Teutsch
LH/995/12,Jean-Pierre-Louis de Fontanes
LH/2239/9,Raoul Pugno
LH/1674/22,Louis-Joseph Luçon
LH/2490/77,Paul Sébillot
LH/839/36,Félix Dujardin
LH/33/38,Gabriel Andral
LH/232/45,François-Auguste Biard
LH/1702/53,Louis-Charles Malassez
LH/1270/29,Alphonse Hasselmans
LH/1285/38,Victor Henry
19800035/103/12920,Maurice Hauriou
LH/611/32,Paul-Louis Courier
LH/2323/33,Victor de Laprade
LH/721/55,François Delsarte
LH/540/73,Georges Clairin
19800035/364/48968,Henry Castaing
LH/1505/62,Henry de La Vaulx
LH/1508/10,Hercule-Ferdinand Laville de Villa Stellone
LH/2473/48,Horace Émile Say
LH/1554/13,Hubert Michel Fortuné Legagneur
LH/1606/17,Hugues Le Roux
19800035/458/61257,Isidore Cuminal
LH/1627/58,Israël Lévi
LH/127/27,Jacques-Eugène Barthélémy
LH/2501/58,Jacques-Philippe Senné
LH/1376/26,Jacques Casimir Jouan
LH/2176/8,Jacques Ferdinand Planche
19800035/683/78263,Jacques Fouques-Duparc
LH/1023/25,Jacques Frédéric Français
LH/1077/26,Jacques Garnier
LH/1750/32,Jacques Marquet de Montbreton de Norvins
LH/1/77,Jacques Pierre Abbatucci
19800035/879/3145,Jacques Poitou-Duplessy
19800035/624/72149,Jacques Sauvegrain
LH/2430/6,Jacques Théodore Saconney
LH/2005/34,Jean-Baptiste-Antoine Nourrisson
LH/2057/19,Jean-Baptiste-Nicolas Parquin
LH/2142/38,Jean-Baptiste-Onésime Philippoteaux
LH/1058/18,Jean-Baptiste Galeazzini
LH/1154/55,Jean-Baptiste Glaire
LH/1919/64,Jean-Baptiste Jacques Guy Thérèse de Montgrand
LH/1469/77,Jean-Baptiste Langlet
19800035/764/86826,Jean-Baptiste Tournassoud
LH/2447/38,Jean-Charles-Alexandre Sallandrouze de Lamornaix
LH/1497/34,Jean-Charles-Joseph Laumond
LH/1428/60,Jean-Denis-René de La Croix de Chevrières de Saint-Vallier
LH/1466/79,Jean-François Landriot
LH/1891/31,Jean-François Mocquard
LH/1356/61,Jean-Henri Jaubert
LH/1654/13,Jean-Jacques-Louis Lombard de Buffières
LH/2567/81,Jean-Joseph Tarayre
LH/1663/3,Jean-Louis Loubère
19800035/624/71786,Jean-Louis Primas
19800035/434/58016,Jean-Marie Charles Abrial
LH/1425/32,Jean-Pierre Lacombe-Saint-Michel
LH/2508/30,Jean-Pierre Sers
LH/1724/10,Jean Auguste Marc
LH/210/10,Jean Bertheroy
19800035/634/73329,Jean Choleau
19800035/918/7127,Jean Clavier
LH/1644/14,Jean Dieudonné Lion
19800035/588/66625,Jean Dupas
19800035/838/95736,Jean Goulden
LH/1252/48,Jean Guyon
LH/1384/60,Jean Joxé
LH/1449/46,Jean Lalaurencie de Charras
LH/1474/43,Jean Lanusse
LH/1207/1,Jean Louis Gros
19800035/849/97202,Jean Maroger
LH/1770/78,Jean Marty
19800035/876/2877,Jean Mayodon
LH/1876/23,Jean Milhet-Fontarabie
LH/1895/9,Jean Moinet
LH/1973/47,Jean Naigeon
LH/1036/43,Jean-Parfait Friederichs
LH/1422/9,Jean Paul Lacave-Laplagne-Barris
LH/1736/52,Jean Philibert Maret
LH/1080/5,Jean Philippe Garran de Coulon
LH/2403/46,Jean Pierre François Dieudonné Roussel
LH/2158/35,Jean Pieyre
19800035/659/75833,Jean Rivalland
LH/1967/65,Joachim Joseph André Murat
LH/1442/44,Joseph Lagrange
19800035/390/52329,Joseph Massabuau
LH/1929/26,Joseph Moreau
LH/1992/8,Joseph Niou
19800035/387/51854,Joseph Noulens
LH/1437/18,Joseph Pierre Lafontaine
LH/2182/48,Joseph Pézenas de Pluvinal
LH/1367/36,Joseph de Jobal
LH/800/13,Henri Douvillé
LH/2774/23,Henri Piazza
LH/430/28,Henri de Carné
LH/884/51,Henri de Dampierre
LH/713/49,Henry Victor Deligny
LH/2628/20,Hippolyte Mortier de Trévise
LH/887/3,Ignace Louis Duvivier
LH/2573/42,Isidore Taylor
LH/784/39,Jacques Amédée Doléris
LH/2780/114,Jacques Renard Belfort
LH/505/22,Jean-Baptiste Alexandre Damaze de Chaudordy
LH/75/6,Jean-Baptiste Augier
LH/267/6,Jean-Baptiste Boffinton
LH/468/13,Jean-Baptiste Chaigneau
LH/347/21,Jean-Baptiste Nicolas Henri Boyer
LH/39/75,Jean-François Angot-Darsonval
LH/28/93,Jean-Jacques Ambert
LH/644/5,Jean-Joseph Melchior Dabadie de Bernet
LH/2692/73,Jean-Joseph de Verneilh-Puyraseau
LH/541/10,Jean-Jules Clamageran
LH/937/20,Jean-Louis-François Fauconnet
LH/71/78,Jean-Marie-Vincent Audin
LH/513/66,Jean-Pierre Chazal
LH/2666/77,Jean André Valletaux
LH/2641/22,Louis-Édouard Taton-Vassal
LH/797/13,Louis Douët d'Arcq
LH/2786/137,Louis Guyardin
LH/1994/2,Louis Joseph Alexis de Noailles
LH/2146/45,Louis Piccon
LH/237/75,Louis Pierre Édouard Bignon
LH/49/71,Lucien Arman
LH/2565/71,Léon Talou
LH/572/58,Marc Colombat de l’Isère
LH/379/49,Marguerite Deval
LH/445/52,Marie-Barthélémy de Castelbajac
LH/274/48,Maurice Bokanowski
LH/2576/44,Maurice Ternaux-Compans
LH/2088/23,Michel-Claude Pellissier de Féligonde
LH/2001/53,Napoléon Marie de Nompère de Champagny
LH/239/58,Nicolas-Pierre-Dominique Billard
LH/2036/18,Nicolas-Pierre Paillart
LH/638/85,Nicolas Cugnot d'Aubigny
LH/1405/17,Nicolas Koechlin
LH/2094/13,Nicolas Peraldi
LH/2001/52,Nicolas de Nompère de Champagny
LH/2339/15,Olivier Macoux Rivaud de La Raffinière
LH/348/1,Paul Jean Boyer
19800035/687/78684,Paul de Cassagnac
19800035/809/91898,Paul Jourdain
19800035/1093/25535,Paul Tubert
LH/821/72,Napoléon Joseph Léon Duchâtel
LH/942/31,Paul Faure
LH/1259/80,Philippe Christophe Hallez
LH/1297/63,Pierre-Antoine Herwyn de Nevèle
LH/332/60,Pierre-Henri-Dieudonné Bourlon
LH/266/30,Pierre-Jean-Thomas Boerio
LH/1022/12,Pierre-Marie Frain de La Villegontier
LH/2719/1,Pierre-Marie Frain de La Villegontier
LH/705/71,Pierre-René-Léonard Delaunay
19800035/112/14128,Pierre Appell
LH/286/41,Pierre Bonnemains
19800035/1197/38404,Pierre Dignac
19800035/751/85163,Pierre Jean François Arago
LH/1529/33,Pierre Lecler
LH/413/41,Pierre Louis du Cambout de Coislin
LH/2346/4,Pierre Robert
LH/1914/42,Pierre de Montaigu
LH/2008/14,Pierre de Nully d'Hécourt
19800035/1121/28315,Pierre de Villoutreys de Brignac
LH/378/54,Prosper-Claude-Ignace-Constant Brugière de Barante
19800035/1477/71343,Raymond Dauthy
19800035/1024/18227,Raymond Mondon
19800035/263/35170,Raymond de Fontaines
19800035/42/5206,René Richard
LH/2361/9,René de Rochechouart de Mortemart
LH/1282/50,Richard-Auguste Hennessy
LH/1922/66,Stéphane Mony
LH/2287/54,Suzanne Reichenberg
LH/525/77,Théophile-Léon Chevreau
LH/525/79,Théophile-Léon Chevreau
LH/1176/40,Théophile Goujon
LH/2367/45,Théophile Roger-Marvaise
LH/2626/45,Ulysse Trélat
LH/96/35,Victor Balanant
19800035/268/35802,Victor Delpierre
LH/423/51,Vincent-Jean-Marie Caradec
19800035/681/78037,Vincent Delpuech
LH/2287/24,Xavier Louis Réguis
19800035/261/34775,Yves-Marie Thomas
LH/1622/60,Yves Le Trocquer
19800035/315/42515,Édouard Andrieu
19800035/798/90320,Édouard Pascaud
19800035/987/14243,Élisabeth Nizan
LH/798/55,Émile-Auguste Doumet
19800035/144/18379,"Jules, Émile Espérandieu"
LH/734/91,Émile Toussaint Dépasse
19800035/575/65318,Émile Villemant
LH/542/56,Étienne François Clary
LH/2407/43,Étienne Roussin
19800035/91/11355,Auguste Lumière
LH/185/67,Bérenger de la Drôme
19800035/205/26784,Henry Marie Radegonde Martin
LH/2532/44,Antoine Joseph Jean Solier
LH/2453/10,Henry Samuelson
LH/1244/48,Auguste Guinard
19800035/762/86576,Ernest Carnot
LH/844/74,Gaston Dumesnil
LH/831/18,Jean-François-Charles Dufay
LH/1591/7,Adrien Léon
LH/766/58,Félix-François Deville
19800035/443/59308,Charles Fruchier
19800035/739/83838,Lucien Roche
19800035/200/26128,Victor Authier
19800035/802/90973,Jean Locquin
19800035/829/94552,Émile Laurent
LH/2716/50,Joseph de Villardi de Montlaur
LH/1427/57,Charles Nicolas Lacretelle
LH/396/69,Jacques-Eugène Bury
LH/1064/19,Nicolas Galmiche
LH/2130/16,Pierre Petitperrin
19800035/1276/47104,Émile Cotton
19800035/1034/19271,Paul Tapponnier
LH/2512/57,滋野清武
LH/1151/49,Louis Girod de Montfalcon
LH/1945/70,Amédée-Hippolyte-Marie-Antoine de Mostuéjouls
19800035/771/87401,Pierre Génébrier
19800035/99/12465,Adrien Oudin
19800035/361/48516,Jean Lerolle
LH/597/5,Jules Cosnard
LH/1181/34,Émile Goussot
LH/1972/29,Louis Nachet
LH/2021/15,Nicolas d'Orglandes
19800035/244/32498,Amédée Chenal
LH/410/79,Adrien Calmètes
LH/1603/34,Jean-Marie Leridant
LH/1043/47,Jean-Marie Fruchard
LH/1600/52,Théodore Le Puillon de Boblaye
19800035/458/61314,François Coreil
LH/1679/58,Florimond Mac-Curtain de Kainlis
LH/1373/6,Jacques Jomard
LH/757/14,Guillaume Desprez
LH/1151/45,Félix Girod de l'Ain
LH/2420/35,Casimir Royer
19800035/1013/17031,Mohamed Ould El Mir Agha Mir
19800035/198/25866,Antoine Arbel
19800035/242/32119,Raymond Berniolle
19800035/277/37080,René Cazauvieilh
19800035/144/18271,Jean Duffau
19800035/225/29697,Édouard Eymond
19800035/1263/45644,Michel Missoffe
19800035/1214/40230,Camille Picard
19800035/260/34723,Martin Vigier
LH/2570/49,Philibert-Louis-Alexandre de Tascher
LH/695/36,Nicolas Delacroix
LH/2780/7,Jean Joseph Amat
LH/28/63,Jean Joseph Amat
LH/191/56,Charles Bérigny
LH/629/56,Étienne Crignon-Bonvallet
LH/1817/55,Alexandre Dumeilet
LH/1294/40,François Héroult de Hottot
