leonoreid,noms
LH/353/39,Auguste Braun
19800035/276/36929,Auguste Celos
LH/789/45,Auguste Donnet
LH/1110/11,Auguste Génie
LH/1349/14,Auguste Jal
LH/1841/28,Auguste Mermet
LH/1992/33,Auguste Nisard
LH/60/48,Augustin Asselin
LH/470/34,Augustin Challamel
LH/1042/60,Augustin Fropo
LH/1104/11,Augustin Gazier
LH/2565/3,Augustin Marie Gabriel Bonamour de Talhouët-Roy
19800035/123/15545,Augustin Renaudet
LH/514/8,Augustin de Chazelles
LH/1755/21,Benjamin-Constant Martha
LH/2113/23,Benjamin-Pierre Perrot
LH/692/57,Benjamin Barthélémy Dejean
LH/2640/57,Benjamin Ulmann
LH/117/43,Bernard Barny de Romanet
LH/164/27,Bernard Begué
LH/898/44,Camille Enlart
LH/73/28,Bertrand Auerbach
19800035/605/68339,Bertrand Pujo
LH/2719/18,Bertrand Villemain
LH/1927/19,Charles Paul Narcisse Moreau
19800035/194/25375,Camille-Félix Bellanger
LH/1211/2,Camille Groult
19800035/995/15167,Camille Lian
19800035/46/5671,Camille Savoire
LH/1437/84,Camille de La Forgue de Bellegarde
19800035/1463/69087,Carle Bahon
LH/1053/41,Charles-Antoine-André-Marie de Gailhard
LH/1058/39,Charles-Eugène Galiber
LH/1095/3,Charles Albert Gautier
LH/100/64,Charles Balsan
19800035/177/22870,Charles Burguet
19800035/100/12614,Charles Cochet
19800035/636/73574,Chaloum ben Delak
19800035/93/11603,Charles Edmond Mathis
C/0/57,Charles Eugène Durand de Villers
LH/1029/78,Charles Franquet de Franqueville
LH/1183/54,Charles Goybet
LH/1222/51,Charles Guernier
LH/1291/23,Charles Joseph Fortuné d'Herbouville
LH/1447/8,Charles Laisné
LH/151/75,Charles Louis Joseph Bazoche
19800035/889/4132,Charles Nicod
19800035/305/41092,Charles Rebuffel
19800035/1320/52913,Charles Siblot
19800035/349/46998,Charles Silvestre
19800035/378/50688,Christian Champy
LH/1339/41,Claude-Louis Jacobé de Naurois
19800035/1113/27502,Claude Grange
LH/1253/39,Claude Étienne Guyot
LH/1581/37,Clément Georges Lemoine
LH/1814/54,Camille-Augustin de Meaux
LH/29/81,Camille Amet
LH/192/74,Hector Berlioz
C/0/25,Georges Pompidou
LH/681/19,Claude Debussy
C/0/17,Henri Philippe Pétain
LH/451/10,Augustin Louis Cauchy
LH/874/13,David Émile Durkheim
19800035/200/26204,Émile Boirac
LH/892/60,Alexandre Gustave Bonickhausen Eiffel
19800035/127/16027,Robert Esnault-Pelterie
LH/2273/16,Jean-François-Maxime Raybaud
LH/191/38,Henri Bergson
LH/1993/18,Robert Georges Nivelle
LH/502/50,François-René de Chateaubriand
LH/62/12,Zacharie Astruc
LH/529/65,Aleksander Chodźko
LH/1305/72,Louis Aloÿs de Hohenlohe-Waldenbourg-Bartenstein
LH/2637/89,Johann Gottfried Tulla
LH/2288/67,Charles-Frédéric Reinhard
LH/1799/22,Michel Joseph Maunoury
LH/150/12,François Achille Bazaine
LH/1353/98,Eugène Janvier de La Motte
LH/128/77,Bartók Béla
LH/1626/79,Urbain Le Verrier
LH/2657/7,Maurice Utrillo
LH/1685/37,Bernard Pierre Magnan
19800035/37/4661,Charles Petter
19800035/451/60340,Georges Charpy
LH/1233/67,Charles Édouard Guillaume
LH/2274/39,Sylvain Eugène Raynal
LH/1656/36,Auguste Longnon
LH/2392/42,Louis Rousselet
19800035/436/58318,Gabriel Bertrand
LH/185/49,Marc-Antoine Berdolet
19800035/168/21667,Félix Edouard Justin Émile Borel
C/0/4,Patrice de Mac Mahon
LH/2233/51,Joseph Louis Proust
LH/815/21,Jules Duboscq
19800035/1301/50196,Pierre Dac
LH/2208/25,Eugène Poubelle
19800035/1176/36112,Jean-Pierre Melville
LH/906/15,Henri-Jacques Espérandieu
LH/172/43,Vincenzo Salvatore Carmelo Francesco Bellini
LH/1509/35,Thomas Edward Lawrence
LH/2567/6,Paul Tannery
19800035/882/3412,André Mazon
19800035/789/89205,Alexis Carrel
LH/1269/8,Henri Harpignies
C/0/11,Raymond Poincaré
LH/682/2,Élie Decazes
19800035/463/61886,Édouard Estaunié
LH/1616/85,Ferdinand de Lesseps
LH/2779/6,Paul Pau
LH/1331/52,Joris-Karl Huysmans
LH/648/10,Emmerich Joseph de Dalberg
LH/2752/53,Charles-Marie Widor
LH/128/45,Frédéric Auguste Bartholdi
LH/2576/72,Olry Terquem
LH/2471/47,Ludovic Savatier
LH/1755/11,Frédéric Martens
LH/665/84,Charles-François Daubigny
LH/563/70,Charles Colin
LH/1151/47,Justin Girod-Chantrans
19800035/1463/69262,Émile Bernard
LH/600/20,Pierre Auguste Cot
19800035/274/36653,Amélie Zurcher
19800035/253/33686,Édouard-Alfred Martel
LH/2359/31,Édouard Roche
LH/573/71,Édouard Colonne
LH/713/45,Édouard-Jean-Étienne Deligny
LH/2212/46,Édouard de Verneuil
LH/52/39,Émile Arnaud
19800035/7/801,Émile Bréhier
LH/2744/10,Natalis de Wailly
LH/2766/3,Basil Zaharoff
LH/2098/68,Casimir Périer
19800035/293/39409,Émile Haug
LH/1290/70,Emile Herbillon
LH/1856/45,Émile Meyerson
LH/2490/58,Hippolyte Sebert
LH/929/28,Étienne André François de Paule Fallot de Beaumont de Beaupré
19800035/752/85259,Hélène Vacaresco
C/0/14,Gaston Doumergue
LH/369/64,Paul Broca
19800035/161/20663,Gustave Charpentier
LH/2793/132,Eugène Sue
LH/315/87,Georges Boulanger
19800035/764/86868,Hector Guimard
LH/1630/26,Jules Lewal
LH/1075/63,Ambroise Louis Garneray
19800035/51/6235,Henri Abraham
19800035/542/62012,Auguste Fauchon
LH/1605/51,Louis Hector Leroux
LH/1191/49,Basile Gras
LH/354/70,Michel Bréal
LH/74/48,Louis Simon Auger
LH/553/28,Charles-Louis Clérisseau
LH/696/2,Maurice Delafosse
LH/561/31,Jules Coignet
LH/389/84,Thomas Robert Bugeaud
LH/1974/55,Célestin Nanteuil
LH/2762/45,René Worms
LH/674/9,David d'Angers
LH/1025/30,Adolphe Franck
LH/148/82,Antoine Laurent Bayle
19800035/1350/56433,Pierre Jean Jouve
LH/199/2,Tristan Bernard
LH/7/21,Paul Adam
19800035/1140/30467,René Mayer
19800035/205/26838,André Michelin
LH/2777/60,Edme-Jean Baptiste Bouillon-Lagrange
LH/1258/19,Reynaldo Hahn
LH/618/72,Victor Cousin
LH/432/44,Jules Carpentier
LH/2752/2,Berthe Weill
LH/535/29,Adolphe-Gustave Chouquet
LH/404/67,Auguste André Thomas Cahours
LH/129/44,Antoine-Louis Barye
19800035/357/48014,Henri Mondor
LH/1103/38,Honoré Théodore Maxime Gazan
LH/1012/52,Martin Fourichon
LH/93/6,Henri Ernest Baillon
LH/1393/46,Gustave Kahn
LH/2316/54,Théodule Ribot
LH/2387/33,Edmond de Rothschild
LH/124/32,Charles Barrois
LH/2327/25,Daniel Ridgway Knight
LH/2022/5,Robert d'Orléans
19800035/63/7706,André Chaumeix
LH/331/67,Urbain Bouriant
LH/2288/19,André-Charles-Victor Reille
19800035/288/38749,André Castaigne
LH/1325/47,Ferdinand Humbert
19800035/636/73594,Marcel Delépine
LH/1404/10,Jean-François Klobb
LH/1934/53,Alfred Morel-Fatio
LH/2236/33,Jacques Pucheran
LH/560/44,Léon Cogniet
LH/476/56,Jacques-Joseph Champollion
LH/1179/57,Gaspard Gourgaud
LH/1336/8,Jean-Baptiste Isabey
C/0/26,Georges Catroux
19800035/178/23028,Charles Victor Mauguin
LH/227/71,Jacques Claude Beugnot
LH/2651/59,Marcel Tournier
LH/1618/36,Jean-François Lesueur
LH/1016/31,Henri Fournier
LH/77/12,Louis d'Aurelle de Paladines
LH/1042/69,Charles Auguste Frossard
LH/2095/49,Auguste Perdonnet
LH/860/61,Gilbert Duprez
LH/1172/31,Antoine Gouan
LH/2647/56,Antoine Thomas
19800035/1168/33369,Georges Gougenheim
19800035/918/7195,Raymond Grasset
LH/2171/48,Eugène Piron
LH/2289/26,Réjane
LH/1332/45,Jean-Antoine-Marie Idrac
LH/2453/40,Jules Sandeau
LH/1527/42,Louis Le Chatelier
19800035/390/52318,Paul Mariéton
LH/598/86,Hippolyte Coste
LH/2177/28,Francis Planté
LH/349/89,Félix Bracquemond
LH/151/21,François Bazin
19800035/1244/43531,René de Possel
LH/1303/31,Jacques Ignace Hittorff
19800035/1125/29025,Eugène Tisserant
LH/861/22,Charles-François Dupuis
19800035/237/31499,Salomon Reinach
19800035/565/64318,François-Auguste Mignet
LH/1873/58,François-Auguste Mignet
LH/2767/37,Gustave Zédé
LH/2384/75,Pellegrino Rossi
LH/87/64,Félix Baciocchi
19800035/1004/16102,Henri Decoin
19800035/197/25772,Pierre Brossolette
LH/1779/52,François Jacques Dominique Massieu
19800035/1330/54107,Paul Boucherot
LH/2243/66,Jean Louis Armand de Quatrefages de Bréau
LH/1698/41,Nicolas-Joseph Maison
19800035/85/10643,Emmanuel Suhard
LH/2603/55,Louis-Étienne Thouvenin
LH/1034/52,Pierre-Édouard Frère
LH/1090/13,Martin Michel Charles Gaudin
LH/2163/6,Isidore Pils
LH/2210/15,Claude Pouillet
LH/1968/3,Lucien Murat
LH/1947/68,Augustin Mouchot
LH/1509/32,Jacques Alexandre Law de Lauriston
19800035/1219/40728,Marc Pincherle
19800035/1366/57905,Georges Migot
LH/1205/68,Jean Grolier de Servières
LH/1195/23,Louis-Alexandre-Benjamin Green de Saint-Marsault
LH/183/32,Joseph-Charles Béra
LH/666/76,Michel Daudiès
LH/413/5,Louis-Alexandre de Cambon
LH/698/47,Jean-François-Marie Delaître
LH/11/13,Alexandre Aguillon
LH/61/18,Pierre d'Assier de Valenches
LH/1269/86,Jean René Harscouet de Saint-George
LH/2288/36,Charles de Reinach
LH/21/75,Nelzir Allard
LH/82/67,Séverin Aylies
LH/130/53,Louis Basse
LH/372/27,Charles Broquart des Bussières
LH/666/47,Claude Daude
LH/928/45,Jean Sébastien Falgayrac
LH/722/14,Jean Deltheil
LH/879/51,Michel Joseph Dutens
LH/1136/56,Jean Landry Gillon
LH/1214/24,Charles Gabriel César Gudin
LH/1269/58,André Frédéric Hartmann
LH/1375/58,Jacques Laurent Josserand
LH/1232/29,Louis Paul Achille Guilhem
LH/1268/39,Nicolas Félix Harlé
LH/1422/35,Jacques-Joseph Lacaze
LH/1615/60,Joseph François de L'Espée
LH/1558/84,Joseph Le Gogal-Toulgoët
LH/1722/48,Jean-François Marande
LH/2217/10,Pierre Charles Toussaint Pouyer
LH/2335/26,Gaspard Riollay
LH/2432/22,Charles Marie Philibert de Saget
LH/2451/18,Félix Salvage
LH/2764/51,Marc-Antoine-César Yon de Jonage
LH/83/10,Jules Aymé de la Herlière
LH/370/8,Gustave Brochant de Villiers
LH/486/102,Antoine de Chapuys de Montlaville
LH/597/40,Cosme Cosserat
LH/547/53,Alfred de Clebsattel
LH/1033/83,Louis Frémy
LH/1105/67,Alexandre de Geiger
LH/1542/10,Stanislas Lédier
LH/2164/13,Alexandre Pinard
LH/2136/45,Eugène Peyrusse
LH/2513/65,Prosper Joseph Sibuet
LH/2366/9,Arnaud Rogé
LH/2693/45,Théodore Michel Vernier
LH/2715/67,Antonin Vilcocq
LH/2576/23,Joannès Terme
LH/54/27,Barthélémy Arnault
LH/127/21,Georges Barthélemy
LH/135/63,Georges Batiot
LH/295/6,Auguste Borderie
LH/288/92,Joseph-Louis Bonnet
LH/306/120,Charles Bouchet de Grandmay
LH/365/62,Pierre Oscar Maximilien de Brigode-Kemlandt
LH/469/47,Félix Chalamel
LH/1498/69,Justin Laurence
19800035/69/8511,René André Faure
19800035/254/33874,Claude Chialvo
19800035/110/13801,Édouard Lachaud
19800035/187/24400,Adolphe de Launay
19800035/204/26768,Joseph Malric
19800035/560/63813,Louis Mill
19800035/205/26859,Louis Morcrette-Ledieu
19800035/207/27175,Paul Pourteyron
19800035/567/64531,Camille Simonin
LH/1063/18,Henri François Gallois
LH/507/10,Jacques Chaumié
LH/582/2,Adrien Constans
LH/857/23,Charles Dupont de l'Eure
LH/942/44,Pierre Hippolyte Faure
LH/1015/40,Charles Fournier
LH/1068/27,Louis Alban Ganivet
LH/1151/9,Adolphe Girod
LH/1151/32,Louis Girod
LH/858/3,Émile Dupourqué
LH/1382/22,Antoine Jourde
LH/1389/17,Alexandre Jullien
LH/1420/39,Alphonse Labussière
19800035/777/88078,Roger Lafagette
LH/928/37,Pierre de Lafitte-Falentin de Saintenac
LH/1588/2,Charles Lenient
LH/1642/67,Léonard Limperani
LH/1659/55,Louis Lorimy
LH/1552/49,Achille Lefort
LH/1757/34,Charles Martin
LH/1948/48,Jean-Baptiste Mougeot
LH/2132/39,Auguste Peureux
LH/2220/6,Christophe Pradon
LH/2373/4,Julien Rolland
LH/2381/57,François Camille Roques
LH/2594/72,Stéphen-Albert Thirion-Montauban
LH/2592/39,Jules Thiessé
LH/576/27,Simon Combier
LH/938/53,Alfred de Faultrier
LH/1193/64,Joseph-Marie Graveran
LH/2107/19,Pierre Perret
LH/1261/56,Louis-Joseph Duhamel
19800035/1303/50420,André Roux
LH/521/22,Casimir Chevalier
LH/1793/44,Camille Matignon
LH/516/57,Candide Chenevaz
LH/2755/35,Casimir Wicart
LH/2029/29,Charlemagne Ovigneur
LH/517/72,Charles-Philippe de Chennevières-Pointel
LH/17/72,Charles Alexandre
LH/2616/36,Charles Bonaventure Marie Toullier
LH/298/9,Charles Borne
LH/520/35,Charles Chesnelong
LH/558/60,Charles Cochon de Lapparent
LH/600/25,Charles Cotard
LH/786/2,Charles Dombre
LH/1585/78,Charles Le Myre de Vilers
LH/1687/23,Charles Magnin
LH/1753/31,Charles Marteau
LH/1943/54,Charles Mortet
LH/1996/14,Charles Noël
LH/166/32,Charles Paulus Belanger
LH/2182/24,Charles Plumet
LH/2224/8,Charles Prévet
LH/2298/71,Charles Renauldon
LH/2277/46,Charles Régismanset
LH/2285/80,Charles Régnault de Savigny
LH/2447/34,Charles Sallandrouze de Lamornaix
LH/2557/47,Charles Suisse
LH/2753/20,Charles Welche
LH/2713/6,Claude-Bonaventure Vigneron
LH/389/88,Claude-Joseph Buget
LH/2661/71,Claude-Marius Vaïsse
LH/69/22,Claude Charles Aubry de La Boucharderie
LH/714/71,Claude Dellys
LH/930/1,Claude François Falsan
LH/1665/50,Claude Germain Louis Devilliers
LH/2043/8,Claude Marie Joseph Pannetier
LH/2231/8,Claude Prost
LH/2263/65,Claude Ramey
LH/1678/61,Jules Bernard Luys
LH/2170/43,Constance Piou
LH/2036/12,Constant-Jules Paillard-Ducléré
LH/1961/7,Constant Moyaux
LH/339/81,Constantin-Marie-Louis-Léon de Bouthillier-Chavigny
LH/388/41,César Budan de Russé
LH/1612/27,Daniel Lescallier
LH/80/36,Denis Louis Martial Avenel
LH/1030/57,Dominique Frassati
LH/1424/42,Dominique Lacombe
LH/275/10,Donat Bollet
19800035/241/32047,Désiré Georges Jean Marie Bois
