leonoreid,diplomes,professions
C/0/23,,ingénieur en aérospatiale | producteur de cinéma | aviateur | inventeur | entrepreneur | personnalité politique | ingénieur | scénariste
LH/1154/28,,statisticien | diplomate | personnalité politique
19800035/706/80585,,journaliste | personnalité politique | avocat
LH/2692/9,,artiste graphique | peintre | militaire | photographe
LH/2262/68,,professeur d'université | historien | diplomate | personnalité politique
LH/1984/13,,écrivain de science-fiction | romancier | professeur d'université | économiste | mathématicien | enseignant | écrivain | astronome
19800035/408/54579,,mathématicien | professeur
LH/658/46,,mathématicien | professeur | écrivain
LH/842/77,,chimiste | professeur d'université | pharmacien | personnalité politique | scientifique
LH/366/46,,journaliste | socialite | avocat
LH/815/21,,photographe
LH/1185/32,,officier | militaire
19800035/1301/50196,,acteur de cinéma | chansonnier | acteur de théâtre | humoriste | écrivain
19800035/240/31926,,personnalité politique | ingénieur | personnalité du monde des affaires
LH/2208/25,,diplomate | personnalité politique | avocat
19800035/685/78448,,résistant | personnalité politique
LH/2195/37,,mathématicien | physicien | ingénieur militaire | professeur | personnalité politique | ingénieur
19800035/1176/36112,,producteur de cinéma | réalisateur | acteur | scénariste
LH/842/3,,dramaturge de production | dramaturge | écrivain
LH/906/15,,architecte
C/0/9,,personnalité politique | avocat
LH/172/43,,compositeur
LH/1509/35,,militaire | écrivain | scénariste | castellologue | espion | autobiographe | anthropologue | archéologue | aviateur | traducteur | officier | diplomate
LH/803/61,,militaire
LH/643/10,,malacologiste | anthropologue | ichtyologiste | philosophe | botaniste | archéologue | paléontologue | professeur d'université | ornithologue | biologiste | géologue | zoologiste | professeur | personnalité politique | écrivain
LH/2288/38,,librettiste | banquier | personnalité politique
LH/2288/39,,journaliste | personnalité politique | avocat | écrivain
19800035/616/69538,,pilote automobile | pilote de moto
LH/1848/3,,immunologiste | microbiologiste | entomologiste | physiologiste | biologiste | chimiste | zoologiste | inventeur | médecin
LH/2550/9,,graveur | artiste graphique | peintre | photographe
LH/2281/44,,professeur d'université | chirurgien | médecin
LH/2082/50,,peintre
19800035/565/64356,,botaniste | mycologue | sculpteur | peintre | médecin
LH/36/5,,officier | diplomate | personnalité politique | militaire
LH/1711/69,,cartographe | géographe
LH/2460/35,,militaire
LH/1003/68,,guitariste classique | militaire | compositeur
LH/2567/6,,historien des mathématiques | historien de la philosophie | helléniste | traducteur | historien | mathématicien | ingénieur
19800035/1052/21204,,romancier | réalisateur | traducteur | poète | écrivain | scénariste
19800035/253/33692,,peintre
LH/429/27,,policier | personnalité politique
LH/668/20,,archiviste | historien | professeur | personnalité politique
LH/1969/60,,romancier | problémiste | dramaturge | bibliothécaire | poète | écrivain
LH/846/5,,sculpteur
LH/2/26,,soldat | résistant | personnalité politique | moudjahid | scientifique
LH/1177/67,,professeur de musique | compositeur de musique classique | musicologue | organiste | musicien | compositeur
LH/2064/6,,économiste | personnalité politique
19800035/882/3412,,pédagogue | traducteur | professeur
LH/1098/54,,écrivain
LH/1975/53,,diplomate | personnalité politique | militaire
19800035/789/89205,,sociologue | physiologiste | biologiste | chirurgien
LH/1394/42,,fleuriste | romancier | critique littéraire | journaliste | conseiller de rédaction | écrivain
