leonoreid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc
LH/1002/48,1821-09-24T00:00:00Z,Fougères,Point(-1.2 48.351666666),1884-06-27T00:00:00Z,Nancy,Point(6.183611111 48.692777777)
LH/2102/42,1845-03-14T00:00:00Z,Poullaouen,Point(-3.6425 48.34),1915-01-15T00:00:00Z,8e arrondissement de Paris,Point(2.311111111 48.874166666)
19800035/1111/27215,1899-06-04T00:00:00Z,Saint-Brieuc,Point(-2.760277777 48.513611111),1971-08-02T00:00:00Z,Toulon,Point(5.930555555 43.125)
LH/62/58,1826-11-22T00:00:00Z,Toulon,Point(5.930555555 43.125),1890-12-31T00:00:00Z,Toulon,Point(5.930555555 43.125)
LH/530/45,1806-11-04T00:00:00Z,La Tour-du-Pin,Point(5.445 45.565833333),1861-02-13T00:00:00Z,La Tour-du-Pin,Point(5.445 45.565833333)
LH/1013/38,1762-01-20T00:00:00Z,Saint-Chamond,Point(4.514722222 45.476388888),1828-02-22T00:00:00Z,Saint-Chamond,Point(4.514722222 45.476388888)
LH/726/47,1772-07-24T00:00:00Z,Pontarlier,Point(6.354722222 46.906111111),1853-06-08T00:00:00Z,Pontarlier,Point(6.354722222 46.906111111)
19800035/212/27783,1852-12-09T00:00:00Z,Marennes,Point(-1.105277777 45.8225),1940-10-09T00:00:00Z,Marennes,Point(-1.105277777 45.8225)
LH/2592/39,1833-12-06T00:00:00Z,Niort,Point(-0.462222222 46.325),1912-01-09T00:00:00Z,Forges-les-Eaux,Point(1.544722222 49.6125)
LH/2636/55,1752-01-10T00:00:00Z,Toulon,Point(5.930555555 43.125),1839-12-26T00:00:00Z,Toulon,Point(5.930555555 43.125)
LH/722/73,1800-04-10T00:00:00Z,Hambourg,Point(10.0 53.55),1876-10-18T00:00:00Z,Toulon,Point(5.930555555 43.125)
LH/582/80,1756-01-20T00:00:00Z,Marseille,Point(5.376388888 43.296666666),1844-01-09T00:00:00Z,Aix-en-Provence,Point(5.445555555 43.527777777)
19800035/593/67119,1903-03-30T00:00:00Z,Montreuil,Point(2.443055555 48.860277777),1964-11-28T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222)
LH/2151/41,1831-12-27T00:00:00Z,Cherbourg-Octeville,Point(-1.625 49.638888888),1903-09-12T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222)
LH/2530/63,1845-03-05T00:00:00Z,Le Chambon-Feugerolles,Point(4.325 45.396111111),1925-08-15T00:00:00Z,Firminy,Point(4.287222222 45.388055555)
LH/1475/52,1773-08-10T00:00:00Z,Montreuil,Point(1.763333333 50.463611111),1854-04-12T00:00:00Z,Vernon,Point(1.485 49.091666666)
LH/2081/2,1797-08-05T00:00:00Z,Troyes,Point(4.078055555 48.298888888),1881-06-14T00:00:00Z,Guise,Point(3.6275 49.900277777)
LH/691/12,1762-12-17T00:00:00Z,Bergues,Point(2.434166666 50.968611111),1840-02-07T00:00:00Z,Bergues,Point(2.434166666 50.968611111)
LH/103/15,1789-03-19T00:00:00Z,Auch,Point(0.588611111 43.645277777),1872-03-22T00:00:00Z,Montégut,Point(0.645833333 43.652222222)
LH/2160/51,1850-01-12T00:00:00Z,Tours,Point(0.688333333 47.392777777),1933-04-20T00:00:00Z,Sceaux,Point(2.290555555 48.778611111)
LH/566/2,1819-03-02T00:00:00Z,Bordeaux,Point(-0.579444444 44.837777777),1898-02-14T00:00:00Z,9e arrondissement de Paris,Point(2.336966666 48.878280555)
LH/2527/12,1857-05-19T00:00:00Z,Paris,Point(2.351388888 48.856944444),1909-01-17T00:00:00Z,Bourg-en-Bresse,Point(5.228055555 46.204722222)
LH/2306/10,1821-11-13T00:00:00Z,Morez,Point(6.022222222 46.521944444),1894-08-18T00:00:00Z,Blagny,Point(5.191111111 49.621111111)
LH/524/38,1810-07-15T00:00:00Z,Poligny,Point(5.707777777 46.836111111),1869-05-18T00:00:00Z,Poligny,Point(5.707777777 46.836111111)
LH/2507/56,1845-03-25T00:00:00Z,Toulouse,Point(1.443888888 43.604444444),1905-12-29T00:00:00Z,Montaigut-sur-Save,Point(1.230555555 43.691388888)
LH/2108/7,1765-05-08T00:00:00Z,Boffres,Point(4.703055555 44.920555555),1853-05-29T00:00:00Z,Boffres,Point(4.703055555 44.920555555)
LH/2481/1,1825-09-29T00:00:00Z,Mulhouse,Point(7.339166666 47.748611111),1905-07-12T00:00:00Z,8e arrondissement de Paris,Point(2.311111111 48.874166666)
LH/743/28,1774-02-10T00:00:00Z,Cusset,Point(3.456388888 46.134444444),1843-08-18T00:00:00Z,Cusset,Point(3.456388888 46.134444444)
LH/2106/44,1756-09-03T00:00:00Z,Ploërmel,Point(-2.3975 47.931666666),1837-05-25T00:00:00Z,Rennes,Point(-1.680833333 48.114166666)
LH/2355/37,1734-11-25T00:00:00Z,Rennes,Point(-1.680833333 48.114166666),1810-09-27T00:00:00Z,Rennes,Point(-1.680833333 48.114166666)
LH/74/88,1735-01-15T00:00:00Z,Cognac,Point(-0.329166666 45.695833333),1826-07-20T00:00:00Z,Cognac,Point(-0.329166666 45.695833333)
LH/456/44,1767-05-23T00:00:00Z,Saint-Chély-d'Apcher,Point(3.275833333 44.803055555),1857-04-28T00:00:00Z,Aumont-Aubrac,Point(3.283888888 44.722777777)
LH/2313/80,1832-04-26T00:00:00Z,Les Andelys,Point(1.411666666 49.245555555),1900-03-31T00:00:00Z,Gaillon,Point(1.335833333 49.160277777)
LH/944/35,1754-12-04T00:00:00Z,Lille,Point(3.0575 50.631944444),1824-12-10T00:00:00Z,Lille,Point(3.0575 50.631944444)
LH/2490/40,1786-03-21T00:00:00Z,La Porta,Point(9.352777777 42.422777777),1871-09-16T00:00:00Z,Bastia,Point(9.449444444 42.7)
LH/826/63,1833-10-14T00:00:00Z,Auch,Point(0.588611111 43.645277777),1910-07-21T00:00:00Z,Châteauneuf-du-Pape,Point(4.831666666 44.056388888)
LH/590/5,1776-06-22T00:00:00Z,Dijon,Point(5.041944444 47.323055555),1849-12-02T00:00:00Z,Tain-l'Hermitage,Point(4.8425 45.070555555)
LH/864/6,1799-03-06T00:00:00Z,La Gorgue,Point(2.714166666 50.638333333),1870-07-10T00:00:00Z,La Gorgue,Point(2.714166666 50.638333333)
LH/2704/49,1842-02-08T00:00:00Z,Saint-Chéron,Point(2.124722222 48.553611111),1905-01-19T00:00:00Z,Saint-Chéron,Point(2.124722222 48.553611111)
LH/1052/41,1765-03-15T00:00:00Z,Poligny,Point(5.707777777 46.836111111),1848-10-20T00:00:00Z,Poligny,Point(5.707777777 46.836111111)
LH/2268/74,1769-07-25T00:00:00Z,Noves,Point(4.901388888 43.876944444),1857-08-02T00:00:00Z,Noves,Point(4.901388888 43.876944444)
LH/2422/1,1756-07-05T00:00:00Z,Verrières,Point(3.058055555 44.201388888),1847-11-21T00:00:00Z,Montpellier,Point(3.877230555 43.610919444)
LH/833/55,1811-03-02T00:00:00Z,Moulins,Point(3.3325 46.564722222),1868-05-30T00:00:00Z,Luxeuil-les-Bains,Point(6.380833333 47.816111111)
LH/2769/62,1745-09-01T00:00:00Z,Strasbourg,Point(7.752222222 48.573333333),1822-11-10T00:00:00Z,Strasbourg,Point(7.752222222 48.573333333)
19800035/749/84926,1865-02-09T00:00:00Z,Moncontour,Point(-0.017222222 46.881666666),1949-11-14T00:00:00Z,Moncontour,Point(-0.017222222 46.881666666)
LH/2373/4,1801-11-25T00:00:00Z,Cajarc,Point(1.842777777 44.485555555),1879-11-05T00:00:00Z,Cajarc,Point(1.842777777 44.485555555)
LH/2132/39,1857-04-05T00:00:00Z,Fougerolles,Point(6.402777777 47.885277777),1927-02-13T00:00:00Z,Fougerolles,Point(6.402777777 47.885277777)
19800035/552/63070,1864-03-12T00:00:00Z,Mulhouse,Point(7.339166666 47.748611111),1941-11-04T00:00:00Z,Biarritz,Point(-1.557222222 43.480555555)
LH/661/56,1797-02-06T00:00:00Z,Buxy,Point(4.696666666 46.711666666),1877-10-17T00:00:00Z,Buxy,Point(4.696666666 46.711666666)
LH/2219/19,1839-01-22T00:00:00Z,Bretenoux,Point(1.838333333 44.914444444),1891-03-22T00:00:00Z,10e arrondissement de Paris,Point(2.357852777 48.875508333)
LH/1435/53,1810-05-26T00:00:00Z,Lafrançaise,Point(1.240555555 44.127777777),1884-06-24T00:00:00Z,Montauban,Point(1.355 44.017222222)
