nom,leonoreid,bnfid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc,metier,diplome
Prosper Mérimée,LH/1837/26,11915671f,1803-09-28T00:00:00Z,Paris,Point(2.351388888 48.856944444),1870-09-23T00:00:00Z,Cannes,Point(7.021388888 43.5525),romancier,
Prosper Mérimée,LH/1837/26,11915671f,1803-09-28T00:00:00Z,Paris,Point(2.351388888 48.856944444),1870-09-23T00:00:00Z,Cannes,Point(7.021388888 43.5525),anthropologue,
Prosper Mérimée,LH/1837/26,11915671f,1803-09-28T00:00:00Z,Paris,Point(2.351388888 48.856944444),1870-09-23T00:00:00Z,Cannes,Point(7.021388888 43.5525),peintre,
Prosper Mérimée,LH/1837/26,11915671f,1803-09-28T00:00:00Z,Paris,Point(2.351388888 48.856944444),1870-09-23T00:00:00Z,Cannes,Point(7.021388888 43.5525),traducteur,
Prosper Mérimée,LH/1837/26,11915671f,1803-09-28T00:00:00Z,Paris,Point(2.351388888 48.856944444),1870-09-23T00:00:00Z,Cannes,Point(7.021388888 43.5525),dramaturge,
Prosper Mérimée,LH/1837/26,11915671f,1803-09-28T00:00:00Z,Paris,Point(2.351388888 48.856944444),1870-09-23T00:00:00Z,Cannes,Point(7.021388888 43.5525),historien,
Prosper Mérimée,LH/1837/26,11915671f,1803-09-28T00:00:00Z,Paris,Point(2.351388888 48.856944444),1870-09-23T00:00:00Z,Cannes,Point(7.021388888 43.5525),personnalité politique,
Prosper Mérimée,LH/1837/26,11915671f,1803-09-28T00:00:00Z,Paris,Point(2.351388888 48.856944444),1870-09-23T00:00:00Z,Cannes,Point(7.021388888 43.5525),écrivain,
Marcel Dassault,C/0/23,118986960,1892-01-22T00:00:00Z,9e arrondissement de Paris,Point(2.336966666 48.878280555),1986-04-17T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222),ingénieur en aérospatiale,
Marcel Dassault,C/0/23,118986960,1892-01-22T00:00:00Z,9e arrondissement de Paris,Point(2.336966666 48.878280555),1986-04-17T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222),producteur de cinéma,
Marcel Dassault,C/0/23,118986960,1892-01-22T00:00:00Z,9e arrondissement de Paris,Point(2.336966666 48.878280555),1986-04-17T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222),aviateur,
Marcel Dassault,C/0/23,118986960,1892-01-22T00:00:00Z,9e arrondissement de Paris,Point(2.336966666 48.878280555),1986-04-17T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222),inventeur,
Marcel Dassault,C/0/23,118986960,1892-01-22T00:00:00Z,9e arrondissement de Paris,Point(2.336966666 48.878280555),1986-04-17T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222),entrepreneur,
Marcel Dassault,C/0/23,118986960,1892-01-22T00:00:00Z,9e arrondissement de Paris,Point(2.336966666 48.878280555),1986-04-17T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222),personnalité politique,
Marcel Dassault,C/0/23,118986960,1892-01-22T00:00:00Z,9e arrondissement de Paris,Point(2.336966666 48.878280555),1986-04-17T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222),ingénieur,
Marcel Dassault,C/0/23,118986960,1892-01-22T00:00:00Z,9e arrondissement de Paris,Point(2.336966666 48.878280555),1986-04-17T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222),scénariste,
William Ewart Gladstone,LH/1154/28,120594880,,,,,,,statisticien,
William Ewart Gladstone,LH/1154/28,120594880,,,,,,,diplomate,
William Ewart Gladstone,LH/1154/28,120594880,,,,,,,personnalité politique,
Paul Reynaud,19800035/706/80585,11921739g,1878-10-15T00:00:00Z,Barcelonnette,Point(6.6525 44.385833333),1966-09-21T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222),journaliste,
Paul Reynaud,19800035/706/80585,11921739g,1878-10-15T00:00:00Z,Barcelonnette,Point(6.6525 44.385833333),1966-09-21T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222),personnalité politique,
Paul Reynaud,19800035/706/80585,11921739g,1878-10-15T00:00:00Z,Barcelonnette,Point(6.6525 44.385833333),1966-09-21T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222),avocat,
Frédéric Joliot-Curie,19800035/290/38935,122751310,1900-03-19T00:00:00Z,Paris,Point(2.351388888 48.856944444),1958-08-14T00:00:00Z,Paris,Point(2.351388888 48.856944444),physicien,
Frédéric Joliot-Curie,19800035/290/38935,122751310,1900-03-19T00:00:00Z,Paris,Point(2.351388888 48.856944444),1958-08-14T00:00:00Z,Paris,Point(2.351388888 48.856944444),professeur,
Frédéric Joliot-Curie,19800035/290/38935,122751310,1900-03-19T00:00:00Z,Paris,Point(2.351388888 48.856944444),1958-08-14T00:00:00Z,Paris,Point(2.351388888 48.856944444),personnalité politique,
Joachim Murat,LH/1967/64,119639427,1767-03-25T00:00:00Z,Labastide-Murat,Point(1.5675 44.6475),1815-10-13T00:00:00Z,Pizzo,Point(16.166666666 38.733333333),officier,
Joachim Murat,LH/1967/64,119639427,1767-03-25T00:00:00Z,Labastide-Murat,Point(1.5675 44.6475),1815-10-13T00:00:00Z,Pizzo,Point(16.166666666 38.733333333),personnalité politique,
Joachim Murat,LH/1967/64,119639427,1767-03-25T00:00:00Z,Labastide-Murat,Point(1.5675 44.6475),1815-10-13T00:00:00Z,Pizzo,Point(16.166666666 38.733333333),militaire,
Prosper Montagné,19800035/755/85630,11916586f,1865-11-14T00:00:00Z,Carcassonne,Point(2.351388888 43.215833333),1948-04-22T00:00:00Z,Sèvres,Point(2.210833333 48.823055555),chef cuisinier,
Prosper Montagné,19800035/755/85630,11916586f,1865-11-14T00:00:00Z,Carcassonne,Point(2.351388888 43.215833333),1948-04-22T00:00:00Z,Sèvres,Point(2.210833333 48.823055555),journaliste,
Georges Méliès,LH/1819/20,122153706,1861-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444),1938-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),magicien,
Georges Méliès,LH/1819/20,122153706,1861-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444),1938-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),dessinateur,
Georges Méliès,LH/1819/20,122153706,1861-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444),1938-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),acteur de cinéma,
Georges Méliès,LH/1819/20,122153706,1861-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444),1938-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),monteur,
Georges Méliès,LH/1819/20,122153706,1861-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444),1938-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),réalisateur,
Georges Méliès,LH/1819/20,122153706,1861-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444),1938-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),producteur de cinéma,
Georges Méliès,LH/1819/20,122153706,1861-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444),1938-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),cinéaste,
Georges Méliès,LH/1819/20,122153706,1861-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444),1938-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),animateur,
Georges Méliès,LH/1819/20,122153706,1861-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444),1938-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),directeur de la photographie,
Georges Méliès,LH/1819/20,122153706,1861-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444),1938-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),acteur,
Georges Méliès,LH/1819/20,122153706,1861-12-08T00:00:00Z,Paris,Point(2.351388888 48.856944444),1938-01-21T00:00:00Z,Paris,Point(2.351388888 48.856944444),scénariste,
