ville,coordinatelieu
Marigny-lès-Reullée,Point(4.963888888 46.9975)
Essey,Point(4.526111111 47.205)
Vandenesse-en-Auxois,Point(4.615555555 47.219722222)
Reichshoffen,Point(7.666111111 48.934444444)
Montpellier,Point(3.877230555 43.610919444)
Meilly-sur-Rouvres,Point(4.562777777 47.206944444)
Obenheim,Point(7.689166666 48.360277777)
Bassemberg,Point(7.283333333 48.334722222)
Éguilly,Point(4.500277777 47.303611111)
Meistratzheim,Point(7.543055555 48.448888888)
Ébaty,Point(4.784444444 46.929166666)
Pernand-Vergelesses,Point(4.851111111 47.08)
Merceuil,Point(4.841666666 46.949166666)
Ladoix-Serrigny,Point(4.886666666 47.066111111)
Combertault,Point(4.898888888 46.992777777)
Pfaffenhoffen,Point(7.610833333 48.844444444)
Bressey-sur-Tille,Point(5.183055555 47.308333333)
Trimbach,Point(8.023333333 48.94)
Beinheim,Point(8.083888888 48.863055555)
Niederhausbergen,Point(7.703888888 48.624166666)
Antheuil,Point(4.745833333 47.1725)
Montagny-lès-Beaune,Point(4.849444444 46.991111111)
Mont-Saint-Jean,Point(4.401944444 47.2925)
Vignoles,Point(4.887777777 47.030277777)
Bitschhoffen,Point(7.62 48.859166666)
Narbonne,Point(3.003611111 43.184722222)
Oberbronn,Point(7.606944444 48.941111111)
Odratzheim,Point(7.488611111 48.600555555)
Laperrière-sur-Saône,Point(5.341388888 47.111666666)
Commarin,Point(4.648888888 47.256666666)
Semarey,Point(4.634166666 47.268055555)
Meursanges,Point(4.945277777 46.991111111)
Maconge,Point(4.5775 47.220555555)
Auxant,Point(4.624444444 47.123611111)
Ruffey-lès-Beaune,Point(4.913888888 47.018888888)
Montagny-lès-Seurre,Point(5.253611111 47.023333333)
Crastatt,Point(7.427222222 48.658888888)
Libourne,Point(-0.243888888 44.915277777)
Calais,Point(1.855555555 50.9475)
Sainte-Sabine,Point(4.624722222 47.191388888)
Thoisy-le-Désert,Point(4.524722222 47.246944444)
Chaudenay-le-Château,Point(4.645277777 47.178055555)
Montot,Point(5.245833333 47.141111111)
Carcassonne,Point(2.351388888 43.215833333)
Tailly,Point(4.814166666 46.969166666)
Périgueux,Point(0.718055555 45.184166666)
Dahlenheim,Point(7.507222222 48.585555555)
Levernois,Point(4.873055555 46.995555555)
Climbach,Point(7.850555555 49.017777777)
Solbach,Point(7.201388888 48.4275)
Losne,Point(5.263055555 47.098333333)
Charrey-sur-Saône,Point(5.163333333 47.088333333)
Reutenbourg,Point(7.406388888 48.684722222)
Steenvoorde,Point(2.582777777 50.809444444)
Poitiers,Point(0.335277777 46.581111111)
Bissert,Point(7.023611111 48.941944444)
Hindisheim,Point(7.638888888 48.469166666)
Colroy-la-Roche,Point(7.181944444 48.390277777)
Esbarres,Point(5.215 47.094444444)
Mothern,Point(8.154166666 48.932222222)
Agen,Point(0.618611111 44.203055555)
Mittelschaeffolsheim,Point(7.651944444 48.700555555)
Crugey,Point(4.674166666 47.184722222)
Sainte-Marie-la-Blanche,Point(4.891111111 46.977777777)
Mommenheim,Point(7.644166666 48.7575)
Céret,Point(2.751388888 42.488055555)
La Bussière-sur-Ouche,Point(4.721666666 47.216944444)
Bessey-en-Chaume,Point(4.742777777 47.080555555)
Magny-lès-Aubigny,Point(5.176388888 47.111111111)
Vannes,Point(-2.761666666 47.655)
Brazey-en-Plaine,Point(5.217222222 47.135)
Sessenheim,Point(7.986388888 48.796944444)
Cerbère,Point(3.164722222 42.443333333)
Pfalzweyer,Point(7.259166666 48.805833333)
Asswiller,Point(7.22 48.881111111)
Schwobsheim,Point(7.576111111 48.232777777)
Rouvres-sous-Meilly,Point(4.571944444 47.211388888)
Échenon,Point(5.283611111 47.114166666)
Innenheim,Point(7.572222222 48.495277777)
Bischholtz,Point(7.540277777 48.892777777)
Burbach,Point(7.111944444 48.901111111)
Strasbourg,Point(7.752222222 48.573333333)
Aschbach,Point(7.983333333 48.934444444)
Artolsheim,Point(7.573055555 48.208611111)
Bessey-la-Cour,Point(4.613611111 47.098055555)
Daubensand,Point(7.721666666 48.347222222)
Samerey,Point(5.360555555 47.09)
Allenwiller,Point(7.375555555 48.655)
Saint-Jean-de-Losne,Point(5.263888888 47.103055555)
Le Perthus,Point(2.862777777 42.464166666)
Singrist,Point(7.387222222 48.670277777)
Saint-Symphorien-sur-Saône,Point(5.303888888 47.1025)
Blaesheim,Point(7.609166666 48.505833333)
Bligny-sur-Ouche,Point(4.669722222 47.106388888)
Epfig,Point(7.463333333 48.358888888)
Wintzenheim-Kochersberg,Point(7.5125 48.658611111)
Cussy-la-Colonne,Point(4.641111111 47.040833333)
Aubaine,Point(4.7175 47.136944444)
Reynès,Point(2.708333333 42.475277777)
Birkenwald,Point(7.344444444 48.658888888)
Herrlisheim,Point(7.9075 48.730277777)
Coustouges,Point(2.649722222 42.367777777)
Glanon,Point(5.106388888 47.04)
Blancherupt,Point(7.192777777 48.408611111)
Aubigny-en-Plaine,Point(5.176944444 47.132222222)
Ruminghem,Point(2.157777777 50.859444444)
Chaudenay-la-Ville,Point(4.649722222 47.163888888)
Saint-Seine-en-Bâche,Point(5.370833333 47.12)
Écutigny,Point(4.621944444 47.084444444)
Ringendorf,Point(7.555555555 48.8075)
Wintzenbach,Point(8.103888888 48.935)
Berstheim,Point(7.675833333 48.792222222)
Dehlingen,Point(7.191666666 48.981111111)
Dauendorf,Point(7.655277777 48.830277777)
Perpignan,Point(2.894722222 42.6975)
Drachenbronn-Birlenbach,Point(7.870277777 48.986388888)
Dambach,Point(7.631111111 49.003055555)
Rittershoffen,Point(7.951388888 48.903611111)
Vieux-Thann,Point(7.120833333 47.801944444)
Reinhardsmunster,Point(7.316944444 48.676111111)
Breuschwickersheim,Point(7.601666666 48.579722222)
Lembach,Point(7.790555555 49.004166666)
Painblanc,Point(4.6275 47.147222222)
Aigues-Juntes,Point(1.470833333 43.055555555)
Niedersteinbach,Point(7.711944444 49.03)
Montceau-et-Écharnant,Point(4.658333333 47.060555555)
Reichstett,Point(7.752222222 48.645833333)
Wiwersheim,Point(7.606388888 48.640555555)
Dingsheim,Point(7.669722222 48.630555555)
Eckbolsheim,Point(7.689722222 48.578888888)
Saussey,Point(4.609722222 47.07)
Dossenheim-Kochersberg,Point(7.573333333 48.638333333)
Diebolsheim,Point(7.663611111 48.290833333)
Niederlauterbach,Point(8.102777777 48.9725)
Village-Neuf,Point(7.569444444 47.606666666)
Banyuls-sur-Mer,Point(3.1275 42.482222222)
Trouhans,Point(5.274166666 47.149166666)
Corberon,Point(4.994444444 47.008333333)
Lusigny-sur-Ouche,Point(4.673611111 47.091111111)
Erckartswiller,Point(7.368055555 48.876111111)
Chivres,Point(5.095833333 46.976388888)
Thorey-sur-Ouche,Point(4.695833333 47.146666666)
Offendorf,Point(7.916111111 48.711944444)
Pagny-le-Château,Point(5.196388888 47.047222222)
Franxault,Point(5.277222222 47.053333333)
Fins,Point(3.041944444 50.035)
Schaffhouse-près-Seltz,Point(8.098888888 48.909166666)
Wingersheim,Point(7.635833333 48.722222222)
Elsenheim,Point(7.498611111 48.161388888)
Dijon,Point(5.041944444 47.323055555)
Thomirey,Point(4.59 47.081388888)
Ringeldorf,Point(7.607777777 48.825277777)
Windstein,Point(7.683888888 48.994722222)
Biblisheim,Point(7.795 48.898888888)
Schaffhouse-sur-Zorn,Point(7.563333333 48.7325)
Corsavy,Point(2.578888888 42.466666666)
Aigues-Vives,Point(1.875555555 42.996666666)
Albiès,Point(1.701944444 42.777222222)
Challans,Point(-1.879166666 46.845833333)
Ungersheim,Point(7.304722222 47.878611111)
Urbès,Point(6.955833333 47.883333333)
L'Île-d'Yeu,Point(-2.348333333 46.724166666)
Taillet,Point(2.672222222 42.527222222)
Oms,Point(2.696388888 42.543888888)
Sarrewerden,Point(7.083611111 48.922777777)
Vieux-Ferrette,Point(7.299166666 47.5025)
Lucelle,Point(7.247222222 47.4225)
Fignières,Point(2.587222222 49.683888888)
Furchhausen,Point(7.438333333 48.718055555)
Saint-Cosme,Point(7.063055555 47.681666666)
La Faloise,Point(2.341111111 49.699166666)
Ohnenheim,Point(7.507222222 48.183611111)
Amélie-les-Bains-Palalda,Point(2.671944444 42.475277777)
Friedolsheim,Point(7.484722222 48.706388888)
Friesenheim,Point(7.670833333 48.309722222)
Sparsbach,Point(7.414722222 48.878611111)
Diedendorf,Point(7.045 48.879444444)
Domfessel,Point(7.153611111 48.951111111)
Villiers-Vineux,Point(3.834166666 47.943333333)
Saulxures,Point(7.131111111 48.392222222)
Lapoutroie,Point(7.169444444 48.1525)
Ottersthal,Point(7.350555555 48.754722222)
Saint-Pierre-Quiberon,Point(-3.134166666 47.520833333)
Saint-Marcel,Point(-2.418888888 47.804166666)
Batzendorf,Point(7.705555555 48.783611111)
Alliat,Point(1.586388888 42.816944444)
Ostwald,Point(7.713611111 48.551111111)
Eckwersheim,Point(7.694166666 48.681111111)
Ploërdut,Point(-3.288333333 48.087777777)
Toulouse,Point(1.443888888 43.604444444)
Falvy,Point(2.958888888 49.824444444)
Niedersoultzbach,Point(7.466111111 48.849444444)
Ottwiller,Point(7.229444444 48.864444444)
Aleu,Point(1.266111111 42.892777777)
Mietesheim,Point(7.641388888 48.878055555)
Kunheim,Point(7.534444444 48.076388888)
Liebsdorf,Point(7.230833333 47.479166666)
Kœstlach,Point(7.271111111 47.506111111)
Saint-Bernard,Point(7.201666666 47.671111111)
Le Sourn,Point(-2.989722222 48.043055555)
Trichey,Point(4.140555555 47.930277777)
Hurtigheim,Point(7.592222222 48.616111111)
Lemud,Point(6.366111111 49.038333333)
Persquen,Point(-3.196388888 48.029444444)
Montferrer,Point(2.567222222 42.438055555)
Neuviller-la-Roche,Point(7.238888888 48.439166666)
Thorey,Point(4.122222222 47.903333333)
Herbitzheim,Point(7.084166666 49.014722222)
Engwiller,Point(7.615277777 48.885)
Hinsingen,Point(6.991666666 48.952777777)
Allières,Point(1.365833333 43.036111111)
Leimbach,Point(7.101111111 47.792777777)
Kirchberg,Point(6.951944444 47.796666666)
Niederschaeffolsheim,Point(7.738333333 48.772222222)
Salenthal,Point(7.370277777 48.666944444)
Luemschwiller,Point(7.289166666 47.655277777)
Largitzen,Point(7.186944444 47.561944444)
Saint-Gérand,Point(-2.888055555 48.108333333)
Pleugriffet,Point(-2.685833333 47.989444444)
Knœringue,Point(7.402777777 47.563611111)
Oullins,Point(4.8075 45.714166666)
L'Aiguillon,Point(1.901111111 42.917222222)
Flogny-la-Chapelle,Point(3.872222222 47.9525)
Romelfing,Point(7.025 48.830277777)
Wingen,Point(7.815 49.026111111)
Wisches,Point(7.268611111 48.508888888)
Villemer,Point(3.474444444 47.914444444)
Leutenheim,Point(8.020833333 48.842777777)
Merkwiller-Pechelbronn,Point(7.825555555 48.939166666)
Matzenheim,Point(7.622777777 48.395)
Offwiller,Point(7.543055555 48.910277777)
Oermingen,Point(7.128611111 48.999166666)
Réguiny,Point(-2.746111111 47.976666666)
Zetting,Point(7.130277777 49.080555555)
Saint-Tugdual,Point(-3.338888888 48.098888888)
Landersheim,Point(7.493055555 48.689444444)
Alos,Point(1.145 42.908055555)
Hérange,Point(7.169722222 48.775)
Montacher-Villegardin,Point(3.029166666 48.1725)
Sainte-Brigitte,Point(-3.129166666 48.1625)
Lautenbach,Point(7.158611111 47.940833333)
Calmeilles,Point(2.674166666 42.552222222)
Oudrenne,Point(6.3275 49.380277777)
Éguelshardt,Point(7.491944444 49.018888888)
Urschenheim,Point(7.486111111 48.086111111)
Porcelette,Point(6.655555555 49.156388888)
Santigny,Point(4.121388888 47.5675)
Quily,Point(-2.468055555 47.890833333)
Vitry-sur-Orne,Point(6.108888888 49.265555555)
Magstatt-le-Haut,Point(7.395555555 47.6325)
Masevaux,Point(6.995833333 47.773611111)
Magstatt-le-Bas,Point(7.409166666 47.638611111)
Woippy,Point(6.151388888 49.151111111)
Vany,Point(6.241944444 49.156944444)
Valmestroff,Point(6.263611111 49.360833333)
Viller,Point(6.646388888 48.985)
Salmbach,Point(8.076111111 48.977222222)
Richtolsheim,Point(7.594722222 48.225277777)
Tissey,Point(3.902777777 47.851666666)
Arles-sur-Tech,Point(2.633888888 42.456944444)
Valmont,Point(6.699166666 49.085)
Les Étangs,Point(6.379722222 49.1425)
Kruth,Point(6.963888888 47.930833333)
Réchicourt-le-Château,Point(6.840555555 48.665)
Labaroche,Point(7.193055555 48.11)
Lampertsloch,Point(7.816388888 48.958333333)
Saint-Avé,Point(-2.734444444 47.686666666)
Malmerspach,Point(7.034444444 47.863888888)
